event,start_time_utc,end_time_utc,start_epoch,end_epoch,duration_sec
sync_start,2026-01-18T22:28:23.888251+00:00,2026-01-18T22:28:23.888251+00:00,1768775303.888251,1768775303.888251,0.0
inhale,2026-01-18T22:28:25.383582+00:00,2026-01-18T22:28:27.487223+00:00,1768775305.383582,1768775307.487223,2.103641
inhale,2026-01-18T22:28:30.857777+00:00,2026-01-18T22:28:33.725517+00:00,1768775310.857777,1768775313.725517,2.86774
inhale,2026-01-18T22:28:36.277700+00:00,2026-01-18T22:28:39.305326+00:00,1768775316.2777,1768775319.305326,3.027626
inhale,2026-01-18T22:28:42.695924+00:00,2026-01-18T22:28:45.527808+00:00,1768775322.695924,1768775325.527808,2.831884
inhale,2026-01-18T22:28:49.091705+00:00,2026-01-18T22:28:51.915952+00:00,1768775329.091705,1768775331.915952,2.824247
inhale,2026-01-18T22:28:55.356671+00:00,2026-01-18T22:28:58.330585+00:00,1768775335.356671,1768775338.330585,2.973914
inhale,2026-01-18T22:29:01.965273+00:00,2026-01-18T22:29:05.213238+00:00,1768775341.965273,1768775345.213238,3.247965
inhale,2026-01-18T22:29:09.117553+00:00,2026-01-18T22:29:12.887630+00:00,1768775349.117553,1768775352.88763,3.770077
inhale,2026-01-18T22:29:16.677371+00:00,2026-01-18T22:29:19.749039+00:00,1768775356.677371,1768775359.749039,3.071668
inhale,2026-01-18T22:29:23.203072+00:00,2026-01-18T22:29:26.297865+00:00,1768775363.203072,1768775366.297865,3.094793
inhale,2026-01-18T22:29:29.536833+00:00,2026-01-18T22:29:32.587611+00:00,1768775369.536833,1768775372.587611,3.050778
inhale,2026-01-18T22:29:35.487607+00:00,2026-01-18T22:29:38.383937+00:00,1768775375.487607,1768775378.383937,2.89633
inhale,2026-01-18T22:29:43.079050+00:00,2026-01-18T22:29:45.121634+00:00,1768775383.07905,1768775385.121634,2.042584
inhale,2026-01-18T22:29:48.474071+00:00,2026-01-18T22:29:51.359676+00:00,1768775388.474071,1768775391.359676,2.885605
inhale,2026-01-18T22:29:54.376502+00:00,2026-01-18T22:29:57.213679+00:00,1768775394.376502,1768775397.213679,2.837177
inhale,2026-01-18T22:30:00.261436+00:00,2026-01-18T22:30:02.991264+00:00,1768775400.261436,1768775402.991264,2.729828
inhale,2026-01-18T22:30:05.850571+00:00,2026-01-18T22:30:08.243069+00:00,1768775405.850571,1768775408.243069,2.392498
inhale,2026-01-18T22:30:10.995811+00:00,2026-01-18T22:30:14.156564+00:00,1768775410.995811,1768775414.156564,3.160753
inhale,2026-01-18T22:30:17.780022+00:00,2026-01-18T22:30:21.055884+00:00,1768775417.780022,1768775421.055884,3.275862
inhale,2026-01-18T22:30:24.426003+00:00,2026-01-18T22:30:27.254377+00:00,1768775424.426003,1768775427.254377,2.828374
