event,start_time_utc,end_time_utc,start_epoch,end_epoch,duration_sec
sync_start,2026-01-20T01:30:12.468927+00:00,2026-01-20T01:30:12.468927+00:00,1768872612.468927,1768872612.468927,0.0
inhale,2026-01-20T01:30:13.502226+00:00,2026-01-20T01:30:14.619821+00:00,1768872613.502226,1768872614.619821,1.117595
inhale,2026-01-20T01:30:16.277019+00:00,2026-01-20T01:30:17.431414+00:00,1768872616.277019,1768872617.431414,1.154395
inhale,2026-01-20T01:30:19.049251+00:00,2026-01-20T01:30:20.046916+00:00,1768872619.049251,1768872620.046916,0.997665
inhale,2026-01-20T01:30:21.506221+00:00,2026-01-20T01:30:22.688047+00:00,1768872621.506221,1768872622.688047,1.181826
inhale,2026-01-20T01:30:24.329955+00:00,2026-01-20T01:30:25.525793+00:00,1768872624.329955,1768872625.525793,1.195838
inhale,2026-01-20T01:30:27.021293+00:00,2026-01-20T01:30:28.323642+00:00,1768872627.021293,1768872628.323642,1.302349
inhale,2026-01-20T01:30:29.812783+00:00,2026-01-20T01:30:31.018049+00:00,1768872629.812783,1768872631.018049,1.205266
inhale,2026-01-20T01:30:32.402973+00:00,2026-01-20T01:30:33.571716+00:00,1768872632.402973,1768872633.571716,1.168743
inhale,2026-01-20T01:30:34.886565+00:00,2026-01-20T01:30:36.125603+00:00,1768872634.886565,1768872636.125603,1.239038
inhale,2026-01-20T01:30:37.441815+00:00,2026-01-20T01:30:38.647418+00:00,1768872637.441815,1768872638.647418,1.205603
inhale,2026-01-20T01:30:40.034697+00:00,2026-01-20T01:30:41.274677+00:00,1768872640.034697,1768872641.274677,1.23998
inhale,2026-01-20T01:30:42.588445+00:00,2026-01-20T01:30:43.751946+00:00,1768872642.588445,1768872643.751946,1.163501
inhale,2026-01-20T01:30:45.401762+00:00,2026-01-20T01:30:46.552022+00:00,1768872645.401762,1768872646.552022,1.15026
inhale,2026-01-20T01:30:48.078106+00:00,2026-01-20T01:30:49.257079+00:00,1768872648.078106,1768872649.257079,1.178973
inhale,2026-01-20T01:30:50.705135+00:00,2026-01-20T01:30:51.896053+00:00,1768872650.705135,1768872651.896053,1.190918
inhale,2026-01-20T01:30:53.422134+00:00,2026-01-20T01:30:54.503127+00:00,1768872653.422134,1768872654.503127,1.080993
inhale,2026-01-20T01:30:56.139415+00:00,2026-01-20T01:30:57.167507+00:00,1768872656.139415,1768872657.167507,1.028092
inhale,2026-01-20T01:30:58.601762+00:00,2026-01-20T01:30:59.769196+00:00,1768872658.601762,1768872659.769196,1.167434
inhale,2026-01-20T01:31:01.152140+00:00,2026-01-20T01:31:02.316609+00:00,1768872661.15214,1768872662.316609,1.164469
inhale,2026-01-20T01:31:03.734612+00:00,2026-01-20T01:31:04.927093+00:00,1768872663.734612,1768872664.927093,1.192481
inhale,2026-01-20T01:31:06.315483+00:00,2026-01-20T01:31:07.497776+00:00,1768872666.315483,1768872667.497776,1.182293
inhale,2026-01-20T01:31:08.898254+00:00,2026-01-20T01:31:10.024737+00:00,1768872668.898254,1768872670.024737,1.126483
inhale,2026-01-20T01:31:11.381271+00:00,2026-01-20T01:31:12.488905+00:00,1768872671.381271,1768872672.488905,1.107634
inhale,2026-01-20T01:31:13.776885+00:00,2026-01-20T01:31:14.881349+00:00,1768872673.776885,1768872674.881349,1.104464
inhale,2026-01-20T01:31:16.275298+00:00,2026-01-20T01:31:17.425954+00:00,1768872676.275298,1768872677.425954,1.150656
inhale,2026-01-20T01:31:18.766723+00:00,2026-01-20T01:31:19.921010+00:00,1768872678.766723,1768872679.92101,1.154287
inhale,2026-01-20T01:31:21.224768+00:00,2026-01-20T01:31:22.373739+00:00,1768872681.224768,1768872682.373739,1.148971
inhale,2026-01-20T01:31:23.847801+00:00,2026-01-20T01:31:24.961651+00:00,1768872683.847801,1768872684.961651,1.11385
inhale,2026-01-20T01:31:26.506760+00:00,2026-01-20T01:31:27.617463+00:00,1768872686.50676,1768872687.617463,1.110703
inhale,2026-01-20T01:31:29.223479+00:00,2026-01-20T01:31:30.326426+00:00,1768872689.223479,1768872690.326426,1.102947
inhale,2026-01-20T01:31:31.717257+00:00,2026-01-20T01:31:32.757092+00:00,1768872691.717257,1768872692.757092,1.039835
inhale,2026-01-20T01:31:34.275453+00:00,2026-01-20T01:31:35.416927+00:00,1768872694.275453,1768872695.416927,1.141474
inhale,2026-01-20T01:31:36.749676+00:00,2026-01-20T01:31:38.055287+00:00,1768872696.749676,1768872698.055287,1.305611
inhale,2026-01-20T01:31:39.405142+00:00,2026-01-20T01:31:40.739601+00:00,1768872699.405142,1768872700.739601,1.334459
inhale,2026-01-20T01:31:42.202179+00:00,2026-01-20T01:31:43.214201+00:00,1768872702.202179,1768872703.214201,1.012022
inhale,2026-01-20T01:31:44.612056+00:00,2026-01-20T01:31:45.800232+00:00,1768872704.612056,1768872705.800232,1.188176
inhale,2026-01-20T01:31:47.271979+00:00,2026-01-20T01:31:48.430810+00:00,1768872707.271979,1768872708.43081,1.158831
inhale,2026-01-20T01:31:49.889605+00:00,2026-01-20T01:31:51.029584+00:00,1768872709.889605,1768872711.029584,1.139979
inhale,2026-01-20T01:31:52.345157+00:00,2026-01-20T01:31:53.588299+00:00,1768872712.345157,1768872713.588299,1.243142
inhale,2026-01-20T01:31:55.041229+00:00,2026-01-20T01:31:56.251852+00:00,1768872715.041229,1768872716.251852,1.210623
inhale,2026-01-20T01:31:57.777357+00:00,2026-01-20T01:31:58.886931+00:00,1768872717.777357,1768872718.886931,1.109574
inhale,2026-01-20T01:32:00.237554+00:00,2026-01-20T01:32:01.722366+00:00,1768872720.237554,1768872721.722366,1.484812
inhale,2026-01-20T01:32:02.819839+00:00,2026-01-20T01:32:04.231596+00:00,1768872722.819839,1768872724.231596,1.411757
inhale,2026-01-20T01:32:05.670889+00:00,2026-01-20T01:32:06.900946+00:00,1768872725.670889,1768872726.900946,1.230057
inhale,2026-01-20T01:32:08.436700+00:00,2026-01-20T01:32:09.739420+00:00,1768872728.4367,1768872729.73942,1.30272
inhale,2026-01-20T01:32:11.126741+00:00,2026-01-20T01:32:12.415733+00:00,1768872731.126741,1768872732.415733,1.288992
inhale,2026-01-20T01:32:13.847092+00:00,2026-01-20T01:32:15.213012+00:00,1768872733.847092,1768872735.213012,1.36592
