event,start_time_utc,end_time_utc,start_epoch,end_epoch,duration_sec
sync_start,2026-01-20T01:23:54.740881+00:00,2026-01-20T01:23:54.740881+00:00,1768872234.740881,1768872234.740881,0.0
inhale,2026-01-20T01:23:56.037061+00:00,2026-01-20T01:23:57.058629+00:00,1768872236.037061,1768872237.058629,1.021568
inhale,2026-01-20T01:23:57.955158+00:00,2026-01-20T01:23:58.978673+00:00,1768872237.955158,1768872238.978673,1.023515
inhale,2026-01-20T01:23:59.997258+00:00,2026-01-20T01:24:00.966165+00:00,1768872239.997258,1768872240.966165,0.968907
inhale,2026-01-20T01:24:01.915706+00:00,2026-01-20T01:24:02.883155+00:00,1768872241.915706,1768872242.883155,0.967449
inhale,2026-01-20T01:24:03.945079+00:00,2026-01-20T01:24:04.799484+00:00,1768872243.945079,1768872244.799484,0.854405
inhale,2026-01-20T01:24:05.831119+00:00,2026-01-20T01:24:06.675459+00:00,1768872245.831119,1768872246.675459,0.84434
inhale,2026-01-20T01:24:07.720300+00:00,2026-01-20T01:24:08.548805+00:00,1768872247.7203,1768872248.548805,0.828505
inhale,2026-01-20T01:24:09.523561+00:00,2026-01-20T01:24:10.308568+00:00,1768872249.523561,1768872250.308568,0.785007
inhale,2026-01-20T01:24:11.450336+00:00,2026-01-20T01:24:12.255085+00:00,1768872251.450336,1768872252.255085,0.804749
inhale,2026-01-20T01:24:13.487416+00:00,2026-01-20T01:24:14.347568+00:00,1768872253.487416,1768872254.347568,0.860152
inhale,2026-01-20T01:24:15.542401+00:00,2026-01-20T01:24:16.438565+00:00,1768872255.542401,1768872256.438565,0.896164
inhale,2026-01-20T01:24:17.598030+00:00,2026-01-20T01:24:18.555105+00:00,1768872257.59803,1768872258.555105,0.957075
inhale,2026-01-20T01:24:19.589347+00:00,2026-01-20T01:24:20.557105+00:00,1768872259.589347,1768872260.557105,0.967758
inhale,2026-01-20T01:24:21.602873+00:00,2026-01-20T01:24:22.491574+00:00,1768872261.602873,1768872262.491574,0.888701
inhale,2026-01-20T01:24:23.466414+00:00,2026-01-20T01:24:24.333414+00:00,1768872263.466414,1768872264.333414,0.867
inhale,2026-01-20T01:24:25.380632+00:00,2026-01-20T01:24:26.343016+00:00,1768872265.380632,1768872266.343016,0.962384
inhale,2026-01-20T01:24:27.317817+00:00,2026-01-20T01:24:28.218073+00:00,1768872267.317817,1768872268.218073,0.900256
inhale,2026-01-20T01:24:29.153505+00:00,2026-01-20T01:24:30.133042+00:00,1768872269.153505,1768872270.133042,0.979537
inhale,2026-01-20T01:24:31.077154+00:00,2026-01-20T01:24:32.009671+00:00,1768872271.077154,1768872272.009671,0.932517
inhale,2026-01-20T01:24:32.924459+00:00,2026-01-20T01:24:33.769466+00:00,1768872272.924459,1768872273.769466,0.845007
inhale,2026-01-20T01:24:34.683927+00:00,2026-01-20T01:24:35.521211+00:00,1768872274.683927,1768872275.521211,0.837284
inhale,2026-01-20T01:24:36.472116+00:00,2026-01-20T01:24:37.271388+00:00,1768872276.472116,1768872277.271388,0.799272
inhale,2026-01-20T01:24:38.241294+00:00,2026-01-20T01:24:39.026712+00:00,1768872278.241294,1768872279.026712,0.785418
inhale,2026-01-20T01:24:40.011541+00:00,2026-01-20T01:24:40.762566+00:00,1768872280.011541,1768872280.762566,0.751025
inhale,2026-01-20T01:24:41.702556+00:00,2026-01-20T01:24:42.456000+00:00,1768872281.702556,1768872282.456,0.753444
inhale,2026-01-20T01:24:43.494359+00:00,2026-01-20T01:24:44.223389+00:00,1768872283.494359,1768872284.223389,0.72903
inhale,2026-01-20T01:24:45.212761+00:00,2026-01-20T01:24:46.013737+00:00,1768872285.212761,1768872286.013737,0.800976
inhale,2026-01-20T01:24:46.989044+00:00,2026-01-20T01:24:47.938220+00:00,1768872286.989044,1768872287.93822,0.949176
inhale,2026-01-20T01:24:48.879266+00:00,2026-01-20T01:24:49.752002+00:00,1768872288.879266,1768872289.752002,0.872736
inhale,2026-01-20T01:24:50.726840+00:00,2026-01-20T01:24:51.594888+00:00,1768872290.72684,1768872291.594888,0.868048
inhale,2026-01-20T01:24:52.536325+00:00,2026-01-20T01:24:53.285784+00:00,1768872292.536325,1768872293.285784,0.749459
inhale,2026-01-20T01:24:54.396132+00:00,2026-01-20T01:24:55.157332+00:00,1768872294.396132,1768872295.157332,0.7612
inhale,2026-01-20T01:24:56.540601+00:00,2026-01-20T01:24:57.187951+00:00,1768872296.540601,1768872297.187951,0.64735
inhale,2026-01-20T01:24:58.548622+00:00,2026-01-20T01:24:59.571899+00:00,1768872298.548622,1768872299.571899,1.023277
inhale,2026-01-20T01:25:00.692087+00:00,2026-01-20T01:25:01.625957+00:00,1768872300.692087,1768872301.625957,0.93387
inhale,2026-01-20T01:25:02.907415+00:00,2026-01-20T01:25:03.788714+00:00,1768872302.907415,1768872303.788714,0.881299
inhale,2026-01-20T01:25:04.918078+00:00,2026-01-20T01:25:05.895192+00:00,1768872304.918078,1768872305.895192,0.977114
inhale,2026-01-20T01:25:07.141549+00:00,2026-01-20T01:25:08.012029+00:00,1768872307.141549,1768872308.012029,0.87048
inhale,2026-01-20T01:25:09.317945+00:00,2026-01-20T01:25:10.289550+00:00,1768872309.317945,1768872310.28955,0.971605
inhale,2026-01-20T01:25:11.446812+00:00,2026-01-20T01:25:12.466472+00:00,1768872311.446812,1768872312.466472,1.01966
inhale,2026-01-20T01:25:13.700297+00:00,2026-01-20T01:25:14.645038+00:00,1768872313.700297,1768872314.645038,0.944741
inhale,2026-01-20T01:25:15.961029+00:00,2026-01-20T01:25:16.857696+00:00,1768872315.961029,1768872316.857696,0.896667
inhale,2026-01-20T01:25:18.100826+00:00,2026-01-20T01:25:19.034568+00:00,1768872318.100826,1768872319.034568,0.933742
inhale,2026-01-20T01:25:20.320282+00:00,2026-01-20T01:25:21.275494+00:00,1768872320.320282,1768872321.275494,0.955212
inhale,2026-01-20T01:25:22.562896+00:00,2026-01-20T01:25:23.527726+00:00,1768872322.562896,1768872323.527726,0.96483
inhale,2026-01-20T01:25:24.876567+00:00,2026-01-20T01:25:25.724334+00:00,1768872324.876567,1768872325.724334,0.847767
inhale,2026-01-20T01:25:26.900045+00:00,2026-01-20T01:25:27.859176+00:00,1768872326.900045,1768872327.859176,0.959131
inhale,2026-01-20T01:25:29.182761+00:00,2026-01-20T01:25:30.145889+00:00,1768872329.182761,1768872330.145889,0.963128
inhale,2026-01-20T01:25:31.395446+00:00,2026-01-20T01:25:32.228108+00:00,1768872331.395446,1768872332.228108,0.832662
inhale,2026-01-20T01:25:33.577931+00:00,2026-01-20T01:25:34.462659+00:00,1768872333.577931,1768872334.462659,0.884728
inhale,2026-01-20T01:25:35.776967+00:00,2026-01-20T01:25:36.780443+00:00,1768872335.776967,1768872336.780443,1.003476
inhale,2026-01-20T01:25:38.180355+00:00,2026-01-20T01:25:39.197114+00:00,1768872338.180355,1768872339.197114,1.016759
inhale,2026-01-20T01:25:40.576999+00:00,2026-01-20T01:25:41.583042+00:00,1768872340.576999,1768872341.583042,1.006043
inhale,2026-01-20T01:25:43.077494+00:00,2026-01-20T01:25:44.009868+00:00,1768872343.077494,1768872344.009868,0.932374
inhale,2026-01-20T01:25:45.302179+00:00,2026-01-20T01:25:46.291875+00:00,1768872345.302179,1768872346.291875,0.989696
