"sep=	"
Shimmer_6815_Timestamp_Unix_CAL	Shimmer_6815_PPG_A13_CAL	
ms	mV	
1.7688713999433289E12	0.0	
1.7688713999511414E12	0.0	
1.7688713999589539E12	0.0	
1.7688713999667664E12	0.0	
1.7688713999745789E12	0.0	
1.7688713999823914E12	0.0	
1.7688713999902039E12	0.0	
1.7688713999980164E12	0.0	
1.7688714000058289E12	0.0	
1.7688714000136414E12	0.0	
1.7688714000214539E12	0.0	
1.7688714000292664E12	0.0	
1.7688714000370789E12	0.0	
1.7688714000448914E12	0.0	
1.7688714000527039E12	0.0	
1.7688714000605164E12	0.0	
1.7688714000683289E12	0.0	
1.7688714000761414E12	0.0	
1.7688714000839539E12	0.0	
1.7688714000917664E12	0.0	
1.7688714000995789E12	0.0	
1.7688714001073914E12	0.0	
1.7688714001152039E12	0.0	
1.7688714001230164E12	0.0	
1.7688714001308289E12	0.0	
1.7688714001386414E12	0.0	
1.7688714001464539E12	0.0	
1.7688714001542664E12	0.0	
1.7688714001620789E12	0.0	
1.7688714001698914E12	0.0	
1.7688714001777039E12	0.0	
1.7688714001855164E12	0.0	
1.7688714001933289E12	0.0	
1.7688714002011414E12	0.0	
1.7688714002089539E12	0.0	
1.7688714002167664E12	0.0	
1.7688714002245789E12	0.0	
1.7688714002323914E12	0.0	
1.7688714002402039E12	0.0	
1.7688714002480164E12	0.0	
1.7688714002558289E12	0.0	
1.7688714002636414E12	0.0	
1.7688714002714539E12	0.0	
1.7688714002792664E12	0.0	
1.7688714002870789E12	0.0	
1.7688714002948914E12	0.0	
1.7688714003027039E12	0.0	
1.7688714003105164E12	0.0	
1.7688714003183289E12	0.0	
1.7688714003261414E12	0.0	
1.7688714003339539E12	0.0	
1.7688714003417664E12	0.0	
1.7688714003495789E12	0.0	
1.7688714003573914E12	0.0	
1.7688714003652039E12	0.0	
1.7688714003730164E12	0.0	
1.7688714003808289E12	0.0	
1.7688714003886414E12	0.0	
1.7688714003964539E12	0.0	
1.7688714004042664E12	0.0	
1.7688714004120789E12	0.0	
1.7688714004198914E12	0.0	
1.7688714004277039E12	0.0	
1.7688714004355164E12	0.0	
1.7688714004433289E12	0.0	
1.7688714004511414E12	0.0	
1.7688714004589539E12	0.0	
1.7688714004667664E12	0.0	
1.7688714004745789E12	0.0	
1.7688714004823914E12	0.0	
1.7688714004902039E12	0.0	
1.7688714004980164E12	0.0	
1.7688714005058289E12	0.0	
1.7688714005136414E12	0.0	
1.7688714005214539E12	0.0	
1.7688714005292664E12	0.0	
1.7688714005370789E12	0.0	
1.7688714005448914E12	0.0	
1.7688714005527039E12	0.0	
1.7688714005605164E12	0.0	
1.7688714005683289E12	0.0	
1.7688714005761414E12	0.0	
1.7688714005839539E12	0.0	
1.7688714005917664E12	0.0	
1.7688714005995789E12	0.0	
1.7688714006073914E12	0.0	
1.7688714006152039E12	0.0	
1.7688714006230164E12	0.0	
1.7688714006308289E12	0.0	
1.7688714006386414E12	0.0	
1.7688714006464539E12	0.0	
1.7688714006542664E12	0.0	
1.7688714006620789E12	0.0	
1.7688714006698914E12	0.0	
1.7688714006777039E12	0.0	
1.7688714006855164E12	0.0	
1.7688714006933289E12	0.0	
1.7688714007011414E12	0.0	
1.7688714007089539E12	0.0	
1.7688714007167664E12	0.0	
1.7688714007245789E12	0.0	
1.7688714007323914E12	0.0	
1.7688714007402039E12	0.0	
1.7688714007480164E12	0.0	
1.7688714007558289E12	0.0	
1.7688714007636414E12	0.0	
1.7688714007714539E12	0.0	
1.7688714007792664E12	0.0	
1.7688714007870789E12	0.0	
1.7688714007948914E12	0.0	
1.7688714008027039E12	0.0	
1.7688714008105164E12	0.0	
1.7688714008183289E12	0.0	
1.7688714008261414E12	0.0	
1.7688714008339539E12	0.0	
1.7688714008417664E12	0.0	
1.7688714008495789E12	0.0	
1.7688714008573914E12	0.0	
1.7688714008652039E12	0.0	
1.7688714008730164E12	0.0	
1.7688714008808289E12	0.0	
1.7688714008886414E12	0.0	
1.7688714008964539E12	0.0	
1.7688714009042664E12	0.0	
1.7688714009120789E12	0.0	
1.7688714009198914E12	0.0	
1.7688714009277039E12	0.0	
1.7688714009355164E12	0.0	
1.7688714009433289E12	0.0	
1.7688714009511414E12	0.0	
1.7688714009589539E12	0.0	
1.7688714009667664E12	0.0	
1.7688714009745789E12	0.0	
1.7688714009823914E12	0.0	
1.7688714009902039E12	0.0	
1.7688714009980164E12	0.0	
1.7688714010058289E12	0.0	
1.7688714010136414E12	0.0	
1.7688714010214539E12	0.0	
1.7688714010292664E12	0.0	
1.7688714010370789E12	0.0	
1.7688714010448914E12	0.0	
1.7688714010527039E12	0.0	
1.7688714010605164E12	0.0	
1.7688714010683289E12	0.0	
1.7688714010761414E12	0.0	
1.7688714010839539E12	0.0	
1.7688714010917664E12	0.0	
1.7688714010995789E12	0.0	
1.7688714011073914E12	0.0	
1.7688714011152039E12	0.0	
1.7688714011230164E12	0.0	
1.7688714011308289E12	0.0	
1.7688714011386414E12	0.0	
1.7688714011464539E12	0.0	
1.7688714011542664E12	0.0	
1.7688714011620789E12	0.0	
1.7688714011698914E12	0.0	
1.7688714011777039E12	0.0	
1.7688714011855164E12	0.0	
1.7688714011933289E12	0.0	
1.7688714012011414E12	0.0	
1.7688714012089539E12	0.0	
1.7688714012167664E12	0.0	
1.7688714012245789E12	0.0	
1.7688714012323914E12	0.0	
1.7688714012402039E12	0.0	
1.7688714012480164E12	0.0	
1.7688714012558289E12	0.0	
1.7688714012636414E12	0.0	
1.7688714012714539E12	0.0	
1.7688714012792664E12	0.0	
1.7688714012870789E12	0.0	
1.7688714012948914E12	0.0	
1.7688714013027039E12	0.0	
1.7688714013105164E12	0.0	
1.7688714013183289E12	0.0	
1.7688714013261414E12	0.0	
1.7688714013339539E12	0.0	
1.7688714013417664E12	0.0	
1.7688714013495789E12	0.0	
1.7688714013573914E12	0.0	
1.7688714013652039E12	0.0	
1.7688714013730164E12	0.0	
1.7688714013808289E12	0.0	
1.7688714013886414E12	0.0	
1.7688714013964539E12	0.0	
1.7688714014042664E12	0.0	
1.7688714014120789E12	0.0	
1.7688714014198914E12	0.0	
1.7688714014277039E12	0.0	
1.7688714014355164E12	0.0	
1.7688714014433289E12	0.0	
1.7688714014511414E12	0.0	
1.7688714014589539E12	0.0	
1.7688714014667664E12	0.0	
1.7688714014745789E12	0.0	
1.7688714014823914E12	0.0	
1.7688714014902039E12	0.0	
1.7688714014980164E12	0.0	
1.7688714015058289E12	0.0	
1.7688714015136414E12	0.0	
1.7688714015214539E12	0.0	
1.7688714015292664E12	0.0	
1.7688714015370789E12	0.0	
1.7688714015448914E12	0.0	
1.7688714015527039E12	0.0	
1.7688714015605164E12	0.0	
1.7688714015683289E12	0.0	
1.7688714015761414E12	0.0	
1.7688714015839539E12	0.0	
1.7688714015917664E12	0.0	
1.7688714015995789E12	0.0	
1.7688714016073914E12	0.0	
