event,start_time_utc,end_time_utc,start_epoch,end_epoch,duration_sec
sync_start,2026-01-19T01:46:40.798301+00:00,2026-01-19T01:46:40.798301+00:00,1768787200.798301,1768787200.798301,0.0
inhale,2026-01-19T01:46:42.143321+00:00,2026-01-19T01:46:43.683374+00:00,1768787202.143321,1768787203.683374,1.540053
inhale,2026-01-19T01:46:46.204968+00:00,2026-01-19T01:46:47.947604+00:00,1768787206.204968,1768787207.947604,1.742636
inhale,2026-01-19T01:46:50.610502+00:00,2026-01-19T01:46:52.692033+00:00,1768787210.610502,1768787212.692033,2.081531
inhale,2026-01-19T01:46:55.402396+00:00,2026-01-19T01:46:57.523179+00:00,1768787215.402396,1768787217.523179,2.120783
inhale,2026-01-19T01:46:59.753021+00:00,2026-01-19T01:47:01.915744+00:00,1768787219.753021,1768787221.915744,2.162723
inhale,2026-01-19T01:47:04.659703+00:00,2026-01-19T01:47:06.591336+00:00,1768787224.659703,1768787226.591336,1.931633
inhale,2026-01-19T01:47:09.288711+00:00,2026-01-19T01:47:11.478358+00:00,1768787229.288711,1768787231.478358,2.189647
inhale,2026-01-19T01:47:13.868332+00:00,2026-01-19T01:47:16.109256+00:00,1768787233.868332,1768787236.109256,2.240924
inhale,2026-01-19T01:47:18.754613+00:00,2026-01-19T01:47:21.086000+00:00,1768787238.754613,1768787241.086,2.331387
inhale,2026-01-19T01:47:23.755024+00:00,2026-01-19T01:47:26.221268+00:00,1768787243.755024,1768787246.221268,2.466244
inhale,2026-01-19T01:47:28.892482+00:00,2026-01-19T01:47:31.169262+00:00,1768787248.892482,1768787251.169262,2.27678
inhale,2026-01-19T01:47:34.219892+00:00,2026-01-19T01:47:36.801538+00:00,1768787254.219892,1768787256.801538,2.581646
inhale,2026-01-19T01:47:39.780615+00:00,2026-01-19T01:47:42.229719+00:00,1768787259.780615,1768787262.229719,2.449104
inhale,2026-01-19T01:47:45.302496+00:00,2026-01-19T01:47:47.558425+00:00,1768787265.302496,1768787267.558425,2.255929
inhale,2026-01-19T01:47:50.883934+00:00,2026-01-19T01:47:53.167881+00:00,1768787270.883934,1768787273.167881,2.283947
inhale,2026-01-19T01:47:56.660058+00:00,2026-01-19T01:47:59.309758+00:00,1768787276.660058,1768787279.309758,2.6497
inhale,2026-01-19T01:48:02.416939+00:00,2026-01-19T01:48:05.018601+00:00,1768787282.416939,1768787285.018601,2.601662
inhale,2026-01-19T01:48:07.693646+00:00,2026-01-19T01:48:10.417746+00:00,1768787287.693646,1768787290.417746,2.7241
inhale,2026-01-19T01:48:13.436414+00:00,2026-01-19T01:48:16.507729+00:00,1768787293.436414,1768787296.507729,3.071315
inhale,2026-01-19T01:48:20.192708+00:00,2026-01-19T01:48:22.809363+00:00,1768787300.192708,1768787302.809363,2.616655
inhale,2026-01-19T01:48:26.162037+00:00,2026-01-19T01:48:28.903149+00:00,1768787306.162037,1768787308.903149,2.741112
inhale,2026-01-19T01:48:31.899365+00:00,2026-01-19T01:48:34.353426+00:00,1768787311.899365,1768787314.353426,2.454061
inhale,2026-01-19T01:48:37.361251+00:00,2026-01-19T01:48:39.871019+00:00,1768787317.361251,1768787319.871019,2.509768
inhale,2026-01-19T01:48:42.742899+00:00,2026-01-19T01:48:44.923433+00:00,1768787322.742899,1768787324.923433,2.180534
