"sep=	"
Shimmer_6815_Timestamp_Unix_CAL	Shimmer_6815_PPG_A13_CAL	
ms	mV	
1.768787201295868E12	0.0	
1.7687872013036804E12	0.0	
1.768787201311493E12	0.0	
1.7687872013193054E12	0.0	
1.768787201327118E12	0.0	
1.7687872013349304E12	0.0	
1.768787201342743E12	0.0	
1.7687872013505554E12	0.0	
1.768787201358368E12	0.0	
1.7687872013661804E12	0.0	
1.768787201373993E12	0.0	
1.7687872013818054E12	0.0	
1.768787201389618E12	0.0	
1.7687872013974304E12	0.0	
1.768787201405243E12	0.0	
1.7687872014130554E12	0.0	
1.768787201420868E12	0.0	
1.7687872014286804E12	0.0	
1.768787201436493E12	0.0	
1.7687872014443054E12	0.0	
1.768787201452118E12	0.0	
1.7687872014599304E12	0.0	
1.768787201467743E12	0.0	
1.7687872014755554E12	0.0	
1.768787201483368E12	0.0	
1.7687872014911804E12	0.0	
1.768787201498993E12	0.0	
1.7687872015068054E12	0.0	
1.768787201514618E12	0.0	
1.7687872015224304E12	0.0	
1.768787201530243E12	0.0	
1.7687872015380554E12	0.0	
1.768787201545868E12	0.0	
1.7687872015536804E12	0.0	
1.768787201561493E12	0.0	
1.7687872015693054E12	0.0	
1.768787201577118E12	0.0	
1.7687872015849304E12	0.0	
1.768787201592743E12	0.0	
1.7687872016005554E12	0.0	
1.768787201608368E12	0.0	
1.7687872016161804E12	0.0	
1.768787201623993E12	0.0	
1.7687872016318054E12	0.0	
1.768787201639618E12	0.0	
1.7687872016474304E12	0.0	
1.768787201655243E12	0.0	
1.7687872016630554E12	0.0	
1.768787201670868E12	0.0	
1.7687872016786804E12	0.0	
1.768787201686493E12	0.0	
1.7687872016943054E12	0.0	
1.768787201702118E12	0.0	
1.7687872017099304E12	0.0	
1.768787201717743E12	0.0	
1.7687872017255554E12	0.0	
1.768787201733368E12	0.0	
1.7687872017411804E12	0.0	
1.768787201748993E12	0.0	
1.7687872017568054E12	0.0	
1.768787201764618E12	0.0	
1.7687872017724304E12	0.0	
1.768787201780243E12	0.0	
1.7687872017880554E12	0.0	
1.768787201795868E12	0.0	
1.7687872018036804E12	0.0	
1.768787201811493E12	0.0	
1.7687872018193054E12	0.0	
1.768787201827118E12	0.0	
1.7687872018349304E12	0.0	
1.768787201842743E12	0.0	
1.7687872018505554E12	0.0	
1.768787201858368E12	0.0	
1.7687872018661804E12	0.0	
1.768787201873993E12	0.0	
1.7687872018818054E12	0.0	
1.768787201889618E12	0.0	
1.7687872018974304E12	0.0	
1.768787201905243E12	0.0	
1.7687872019130554E12	0.0	
1.768787201920868E12	0.0	
1.7687872019286804E12	0.0	
1.768787201936493E12	0.0	
1.7687872019443054E12	0.0	
1.768787201952118E12	0.0	
1.7687872019599304E12	0.0	
1.768787201967743E12	0.0	
1.7687872019755554E12	0.0	
1.768787201983368E12	0.0	
1.7687872019911804E12	0.0	
1.768787201998993E12	0.0	
1.7687872020068054E12	0.0	
1.768787202014618E12	0.0	
1.7687872020224304E12	0.0	
1.768787202030243E12	0.0	
1.7687872020380554E12	0.0	
1.768787202045868E12	0.0	
1.7687872020536804E12	0.0	
1.768787202061493E12	0.0	
1.7687872020693054E12	0.0	
1.768787202077118E12	0.0	
1.7687872020849304E12	0.0	
1.768787202092743E12	0.0	
1.7687872021005554E12	0.0	
1.768787202108368E12	0.0	
1.7687872021161804E12	0.0	
1.768787202123993E12	0.0	
1.7687872021318054E12	0.0	
1.768787202139618E12	0.0	
1.7687872021474304E12	0.0	
1.768787202155243E12	0.0	
1.7687872021630554E12	0.0	
1.768787202170868E12	0.0	
1.7687872021786804E12	0.0	
1.768787202186493E12	0.0	
1.7687872021943054E12	0.0	
1.768787202202118E12	0.0	
1.7687872022099304E12	0.0	
1.768787202217743E12	0.0	
1.7687872022255554E12	0.0	
1.768787202233368E12	0.0	
1.7687872022411804E12	0.0	
1.768787202248993E12	0.0	
1.7687872022568054E12	0.0	
1.768787202264618E12	0.0	
1.7687872022724304E12	0.0	
1.768787202280243E12	0.0	
1.7687872022880554E12	0.0	
1.768787202295868E12	0.0	
1.7687872023036804E12	0.0	
1.768787202311493E12	0.0	
1.7687872023193054E12	0.0	
1.768787202327118E12	0.0	
