"sep=	"
Shimmer_6815_Timestamp_Unix_CAL	Shimmer_6815_PPG_A13_CAL	
ms	mV	
1.7687787887528076E12	0.0	
1.76877878876062E12	0.0	
1.7687787887684326E12	0.0	
1.768778788776245E12	0.0	
1.7687787887840576E12	0.0	
1.76877878879187E12	0.0	
1.7687787887996826E12	0.0	
1.768778788807495E12	0.0	
1.7687787888153076E12	0.0	
1.76877878882312E12	0.0	
1.7687787888309326E12	0.0	
1.768778788838745E12	0.0	
1.7687787888465576E12	0.0	
1.76877878885437E12	0.0	
1.7687787888621826E12	0.0	
1.768778788869995E12	0.0	
1.7687787888778076E12	0.0	
1.76877878888562E12	0.0	
1.7687787888934326E12	0.0	
1.768778788901245E12	0.0	
1.7687787889090576E12	0.0	
1.76877878891687E12	0.0	
1.7687787889246826E12	0.0	
1.768778788932495E12	0.0	
1.7687787889403076E12	0.0	
1.76877878894812E12	0.0	
1.7687787889559326E12	0.0	
1.768778788963745E12	0.0	
1.7687787889715576E12	0.0	
1.76877878897937E12	0.0	
1.7687787889871826E12	0.0	
1.768778788994995E12	0.0	
1.7687787890028076E12	0.0	
1.76877878901062E12	0.0	
1.7687787890184326E12	0.0	
1.768778789026245E12	0.0	
1.7687787890340576E12	0.0	
1.76877878904187E12	0.0	
1.7687787890496826E12	0.0	
1.768778789057495E12	0.0	
1.7687787890653076E12	0.0	
1.76877878907312E12	0.0	
1.7687787890809326E12	0.0	
1.768778789088745E12	0.0	
1.7687787890965576E12	0.0	
1.76877878910437E12	0.0	
1.7687787891121826E12	0.0	
1.768778789119995E12	0.0	
1.7687787891278076E12	0.0	
1.76877878913562E12	0.0	
1.7687787891434326E12	0.0	
1.768778789151245E12	0.0	
1.7687787891590576E12	0.0	
1.76877878916687E12	0.0	
1.7687787891746826E12	0.0	
1.768778789182495E12	0.0	
1.7687787891903076E12	0.0	
1.76877878919812E12	0.0	
1.7687787892059326E12	0.0	
1.768778789213745E12	0.0	
1.7687787892215576E12	0.0	
1.76877878922937E12	0.0	
1.7687787892371826E12	0.0	
1.768778789244995E12	0.0	
1.7687787892528076E12	0.0	
1.76877878926062E12	0.0	
1.7687787892684631E12	0.0	
1.768778789276245E12	0.0	
1.7687787892840576E12	0.0	
1.76877878929187E12	0.0	
1.7687787892996826E12	0.0	
1.768778789307495E12	0.0	
1.7687787893153076E12	0.0	
1.76877878932312E12	0.0	
1.7687787893309326E12	0.0	
1.768778789338745E12	0.0	
1.7687787893465576E12	0.0	
1.76877878935437E12	0.0	
1.7687787893621826E12	0.0	
1.768778789369995E12	0.0	
1.7687787893778076E12	0.0	
1.76877878938562E12	0.0	
1.7687787893934326E12	0.0	
1.768778789401245E12	0.0	
1.7687787894090576E12	0.0	
1.76877878941687E12	0.0	
1.7687787894246826E12	0.0	
1.768778789432495E12	0.0	
1.7687787894403076E12	0.0	
1.76877878944812E12	0.0	
1.7687787894559326E12	0.0	
1.768778789463745E12	0.0	
1.7687787894715576E12	0.0	
1.76877878947937E12	0.0	
1.7687787894871826E12	0.0	
1.768778789494995E12	0.0	
1.7687787895028076E12	0.0	
1.76877878951062E12	0.0	
1.7687787895184326E12	0.0	
1.768778789526245E12	0.0	
1.7687787895340576E12	0.0	
1.76877878954187E12	0.0	
1.7687787895496826E12	0.0	
1.768778789557495E12	0.0	
1.7687787895653076E12	0.0	
1.76877878957312E12	0.0	
1.7687787895809326E12	0.0	
1.768778789588745E12	0.0	
1.7687787895965576E12	0.0	
1.76877878960437E12	0.0	
1.7687787896121826E12	0.0	
1.768778789619995E12	0.0	
1.7687787896278076E12	0.0	
1.76877878963562E12	0.0	
1.7687787896434326E12	0.0	
1.768778789651245E12	0.0	
1.7687787896590576E12	0.0	
1.76877878966687E12	0.0	
1.7687787896746826E12	0.0	
1.768778789682495E12	0.0	
1.7687787896903076E12	0.0	
1.76877878969812E12	0.0	
1.7687787897059326E12	0.0	
1.768778789713745E12	0.0	
1.7687787897215576E12	0.0	
1.76877878972937E12	0.0	
1.7687787897371826E12	0.0	
1.768778789744995E12	0.0	
1.7687787897528076E12	0.0	
1.76877878976062E12	0.0	
1.7687787897684326E12	0.0	
1.768778789776245E12	0.0	
1.7687787897840576E12	0.0	
1.76877878979187E12	0.0	
1.7687787897996826E12	0.0	
1.768778789807495E12	0.0	
1.7687787898153076E12	0.0	
1.76877878982312E12	0.0	
1.7687787898309326E12	0.0	
1.768778789838745E12	0.0	
1.7687787898465576E12	0.0	
1.76877878985437E12	0.0	
1.7687787898621826E12	0.0	
1.768778789869995E12	0.0	
1.7687787898778076E12	0.0	
1.76877878988562E12	0.0	
1.7687787898934326E12	0.0	
1.768778789901245E12	0.0	
1.7687787899090576E12	0.0	
1.76877878991687E12	0.0	
1.7687787899246826E12	0.0	
1.768778789932495E12	0.0	
1.7687787899403076E12	0.0	
1.76877878994812E12	0.0	
1.7687787899559326E12	0.0	
1.768778789963745E12	0.0	
1.7687787899715576E12	0.0	
1.76877878997937E12	0.0	
1.7687787899871826E12	0.0	
1.768778789994995E12	0.0	
1.7687787900028076E12	0.0	
1.76877879001062E12	0.0	
1.7687787900184326E12	0.0	
1.768778790026245E12	0.0	
1.7687787900340576E12	0.0	
1.76877879004187E12	0.0	
1.7687787900496826E12	0.0	
1.768778790057495E12	0.0	
1.7687787900653076E12	0.0	
1.76877879007312E12	0.0	
1.7687787900809326E12	0.0	
1.768778790088745E12	0.0	
1.7687787900965576E12	0.0	
1.76877879010437E12	0.0	
1.7687787901121826E12	0.0	
1.768778790119995E12	0.0	
1.7687787901278076E12	0.0	
1.76877879013562E12	0.0	
1.7687787901434326E12	0.0	
1.768778790151245E12	0.0	
1.7687787901590576E12	0.0	
1.76877879016687E12	0.0	
1.7687787901746826E12	0.0	
1.768778790182495E12	0.0	
1.7687787901903076E12	0.0	
1.76877879019812E12	0.0	
1.7687787902059326E12	0.0	
1.768778790213745E12	0.0	
1.7687787902215576E12	0.0	
1.76877879022937E12	0.0	
1.7687787902371826E12	0.0	
1.768778790244995E12	0.0	
1.7687787902528076E12	0.0	
1.76877879026062E12	0.0	
1.7687787902684326E12	0.0	
1.768778790276245E12	0.0	
1.7687787902840576E12	0.0	
1.76877879029187E12	0.0	
