event,start_time_utc,end_time_utc,start_epoch,end_epoch,duration_sec
sync_start,2026-01-18T23:26:28.271857+00:00,2026-01-18T23:26:28.271857+00:00,1768778788.271857,1768778788.271857,0.0
inhale,2026-01-18T23:26:29.885077+00:00,2026-01-18T23:26:32.193680+00:00,1768778789.885077,1768778792.19368,2.308603
inhale,2026-01-18T23:26:34.642702+00:00,2026-01-18T23:26:36.464470+00:00,1768778794.642702,1768778796.46447,1.821768
inhale,2026-01-18T23:26:39.051943+00:00,2026-01-18T23:26:40.913984+00:00,1768778799.051943,1768778800.913984,1.862041
inhale,2026-01-18T23:26:43.305869+00:00,2026-01-18T23:26:45.289007+00:00,1768778803.305869,1768778805.289007,1.983138
inhale,2026-01-18T23:26:47.639909+00:00,2026-01-18T23:26:50.064681+00:00,1768778807.639909,1768778810.064681,2.424772
inhale,2026-01-18T23:26:52.544846+00:00,2026-01-18T23:26:54.722582+00:00,1768778812.544846,1768778814.722582,2.177736
inhale,2026-01-18T23:26:57.021184+00:00,2026-01-18T23:26:59.087036+00:00,1768778817.021184,1768778819.087036,2.065852
inhale,2026-01-18T23:27:01.916320+00:00,2026-01-18T23:27:03.941672+00:00,1768778821.91632,1768778823.941672,2.025352
inhale,2026-01-18T23:27:06.371852+00:00,2026-01-18T23:27:08.313051+00:00,1768778826.371852,1768778828.313051,1.941199
inhale,2026-01-18T23:27:10.808549+00:00,2026-01-18T23:27:12.772480+00:00,1768778830.808549,1768778832.77248,1.963931
inhale,2026-01-18T23:27:14.648829+00:00,2026-01-18T23:27:16.343449+00:00,1768778834.648829,1768778836.343449,1.69462
inhale,2026-01-18T23:27:18.948596+00:00,2026-01-18T23:27:20.602202+00:00,1768778838.948596,1768778840.602202,1.653606
inhale,2026-01-18T23:27:23.361806+00:00,2026-01-18T23:27:25.546499+00:00,1768778843.361806,1768778845.546499,2.184693
inhale,2026-01-18T23:27:28.013250+00:00,2026-01-18T23:27:30.036333+00:00,1768778848.01325,1768778850.036333,2.023083
inhale,2026-01-18T23:27:32.621498+00:00,2026-01-18T23:27:34.443424+00:00,1768778852.621498,1768778854.443424,1.821926
inhale,2026-01-18T23:27:37.011457+00:00,2026-01-18T23:27:39.099805+00:00,1768778857.011457,1768778859.099805,2.088348
inhale,2026-01-18T23:27:41.761065+00:00,2026-01-18T23:27:43.654115+00:00,1768778861.761065,1768778863.654115,1.89305
inhale,2026-01-18T23:27:46.341306+00:00,2026-01-18T23:27:48.504784+00:00,1768778866.341306,1768778868.504784,2.163478
inhale,2026-01-18T23:27:50.982786+00:00,2026-01-18T23:27:53.131302+00:00,1768778870.982786,1768778873.131302,2.148516
inhale,2026-01-18T23:27:55.612885+00:00,2026-01-18T23:27:57.671705+00:00,1768778875.612885,1768778877.671705,2.05882
inhale,2026-01-18T23:28:00.084209+00:00,2026-01-18T23:28:01.693569+00:00,1768778880.084209,1768778881.693569,1.60936
inhale,2026-01-18T23:28:04.480603+00:00,2026-01-18T23:28:06.383299+00:00,1768778884.480603,1768778886.383299,1.902696
inhale,2026-01-18T23:28:08.933267+00:00,2026-01-18T23:28:10.938425+00:00,1768778888.933267,1768778890.938425,2.005158
inhale,2026-01-18T23:28:13.844623+00:00,2026-01-18T23:28:15.829218+00:00,1768778893.844623,1768778895.829218,1.984595
inhale,2026-01-18T23:28:18.701978+00:00,2026-01-18T23:28:20.767908+00:00,1768778898.701978,1768778900.767908,2.06593
inhale,2026-01-18T23:28:23.468671+00:00,2026-01-18T23:28:25.560167+00:00,1768778903.468671,1768778905.560167,2.091496
inhale,2026-01-18T23:28:28.401492+00:00,2026-01-18T23:28:30.539917+00:00,1768778908.401492,1768778910.539917,2.138425
