event,start_time_utc,end_time_utc,start_epoch,end_epoch,duration_sec
sync_start,2026-01-19T03:57:44.597845+00:00,2026-01-19T03:57:44.597845+00:00,1768795064.597845,1768795064.597845,0.0
inhale,2026-01-19T03:57:46.441078+00:00,2026-01-19T03:57:48.501391+00:00,1768795066.441078,1768795068.501391,2.060313
inhale,2026-01-19T03:57:51.668423+00:00,2026-01-19T03:57:53.606054+00:00,1768795071.668423,1768795073.606054,1.937631
inhale,2026-01-19T03:57:55.965645+00:00,2026-01-19T03:57:57.929188+00:00,1768795075.965645,1768795077.929188,1.963543
inhale,2026-01-19T03:58:00.631962+00:00,2026-01-19T03:58:03.033892+00:00,1768795080.631962,1768795083.033892,2.40193
inhale,2026-01-19T03:58:06.338426+00:00,2026-01-19T03:58:08.728642+00:00,1768795086.338426,1768795088.728642,2.390216
inhale,2026-01-19T03:58:11.913256+00:00,2026-01-19T03:58:14.203089+00:00,1768795091.913256,1768795094.203089,2.289833
inhale,2026-01-19T03:58:17.154289+00:00,2026-01-19T03:58:19.550344+00:00,1768795097.154289,1768795099.550344,2.396055
inhale,2026-01-19T03:58:23.043868+00:00,2026-01-19T03:58:25.581745+00:00,1768795103.043868,1768795105.581745,2.537877
inhale,2026-01-19T03:58:29.164492+00:00,2026-01-19T03:58:31.918225+00:00,1768795109.164492,1768795111.918225,2.753733
inhale,2026-01-19T03:58:35.034778+00:00,2026-01-19T03:58:37.672762+00:00,1768795115.034778,1768795117.672762,2.637984
inhale,2026-01-19T03:58:40.970486+00:00,2026-01-19T03:58:43.566438+00:00,1768795120.970486,1768795123.566438,2.595952
inhale,2026-01-19T03:58:47.011840+00:00,2026-01-19T03:58:49.325940+00:00,1768795127.01184,1768795129.32594,2.3141
inhale,2026-01-19T03:58:52.691220+00:00,2026-01-19T03:58:55.324920+00:00,1768795132.69122,1768795135.32492,2.6337
inhale,2026-01-19T03:58:58.977535+00:00,2026-01-19T03:59:01.192480+00:00,1768795138.977535,1768795141.19248,2.214945
inhale,2026-01-19T03:59:05.116296+00:00,2026-01-19T03:59:07.539982+00:00,1768795145.116296,1768795147.539982,2.423686
inhale,2026-01-19T03:59:10.967469+00:00,2026-01-19T03:59:13.312247+00:00,1768795150.967469,1768795153.312247,2.344778
inhale,2026-01-19T03:59:16.836015+00:00,2026-01-19T03:59:19.226783+00:00,1768795156.836015,1768795159.226783,2.390768
inhale,2026-01-19T03:59:23.059799+00:00,2026-01-19T03:59:25.451190+00:00,1768795163.059799,1768795165.45119,2.391391
inhale,2026-01-19T03:59:28.449860+00:00,2026-01-19T03:59:30.815270+00:00,1768795168.44986,1768795170.81527,2.36541
inhale,2026-01-19T03:59:34.095351+00:00,2026-01-19T03:59:36.088404+00:00,1768795174.095351,1768795176.088404,1.993053
inhale,2026-01-19T03:59:38.924281+00:00,2026-01-19T03:59:40.818992+00:00,1768795178.924281,1768795180.818992,1.894711
inhale,2026-01-19T03:59:43.756393+00:00,2026-01-19T03:59:46.045139+00:00,1768795183.756393,1768795186.045139,2.288746
