"sep=	"
Shimmer_6815_Timestamp_Unix_CAL	Shimmer_6815_PPG_A13_CAL	
ms	mV	
1.7687858359873657E12	0.0	
1.7687858359951782E12	0.0	
1.7687858360029907E12	0.0	
1.7687858360108032E12	0.0	
1.7687858360186157E12	0.0	
1.7687858360264282E12	0.0	
1.7687858360342407E12	0.0	
1.7687858360420532E12	0.0	
1.7687858360498657E12	0.0	
1.7687858360576782E12	0.0	
1.7687858360654907E12	0.0	
1.7687858360733032E12	0.0	
1.7687858360811157E12	0.0	
1.7687858360889282E12	0.0	
1.7687858360967407E12	0.0	
1.7687858361045532E12	0.0	
1.7687858361123657E12	0.0	
1.7687858361201782E12	0.0	
1.7687858361279907E12	0.0	
1.7687858361358032E12	0.0	
1.7687858361436157E12	0.0	
1.7687858361514282E12	0.0	
1.7687858361592407E12	0.0	
1.7687858361670532E12	0.0	
1.7687858361748657E12	0.0	
1.7687858361826782E12	0.0	
1.7687858361904907E12	0.0	
1.7687858361983032E12	0.0	
1.7687858362061157E12	0.0	
1.7687858362139282E12	0.0	
1.7687858362217407E12	0.0	
1.7687858362295532E12	0.0	
1.7687858362373657E12	0.0	
1.7687858362451782E12	0.0	
1.7687858362529907E12	0.0	
1.7687858362608032E12	0.0	
1.7687858362686157E12	0.0	
1.7687858362764282E12	0.0	
1.7687858362842407E12	0.0	
1.7687858362920532E12	0.0	
1.7687858362998657E12	0.0	
1.7687858363076782E12	0.0	
1.7687858363154907E12	0.0	
1.7687858363233032E12	0.0	
1.7687858363311157E12	0.0	
1.7687858363389282E12	0.0	
1.7687858363467407E12	0.0	
1.7687858363545532E12	0.0	
1.7687858363623657E12	0.0	
1.7687858363701782E12	0.0	
1.7687858363779907E12	0.0	
1.7687858363858032E12	0.0	
1.7687858363936157E12	0.0	
1.7687858364014282E12	0.0	
1.7687858364092407E12	0.0	
1.7687858364170532E12	0.0	
1.7687858364248657E12	0.0	
1.7687858364326782E12	0.0	
1.7687858364404907E12	0.0	
1.7687858364483032E12	0.0	
1.7687858364561157E12	0.0	
1.7687858364639282E12	0.0	
1.7687858364717407E12	0.0	
1.7687858364795532E12	0.0	
1.7687858364873657E12	0.0	
1.7687858364951782E12	0.0	
1.7687858365029907E12	0.0	
1.7687858365108032E12	0.0	
1.7687858365186157E12	0.0	
1.7687858365264282E12	0.0	
1.7687858365342407E12	0.0	
1.7687858365420532E12	0.0	
1.7687858365498657E12	0.0	
1.7687858365576782E12	0.0	
1.7687858365654907E12	0.0	
1.7687858365733032E12	0.0	
1.7687858365811157E12	0.0	
1.7687858365889282E12	0.0	
1.7687858365967407E12	0.0	
1.7687858366045532E12	0.0	
1.7687858366123657E12	0.0	
1.7687858366201782E12	0.0	
1.7687858366279907E12	0.0	
1.7687858366358032E12	0.0	
1.7687858366436157E12	0.0	
1.7687858366514282E12	0.0	
1.7687858366592407E12	0.0	
1.7687858366670532E12	0.0	
1.7687858366748657E12	0.0	
1.7687858366826782E12	0.0	
1.7687858366904907E12	0.0	
1.7687858366983032E12	0.0	
1.7687858367061157E12	0.0	
1.7687858367139282E12	0.0	
1.7687858367217407E12	0.0	
1.7687858367295532E12	0.0	
1.7687858367373657E12	0.0	
1.7687858367451782E12	0.0	
1.7687858367529907E12	0.0	
1.7687858367608032E12	0.0	
1.7687858367686157E12	0.0	
1.7687858367764282E12	0.0	
1.7687858367842407E12	0.0	
1.7687858367920532E12	0.0	
1.7687858367998657E12	0.0	
1.7687858368076782E12	0.0	
1.7687858368154907E12	0.0	
1.7687858368233032E12	0.0	
1.7687858368311157E12	0.0	
1.7687858368389282E12	0.0	
1.7687858368467407E12	0.0	
1.7687858368545532E12	0.0	
1.7687858368623657E12	0.0	
1.7687858368701782E12	0.0	
1.7687858368779907E12	0.0	
1.7687858368858032E12	0.0	
1.7687858368936157E12	0.0	
1.7687858369014282E12	0.0	
1.7687858369092407E12	0.0	
1.7687858369170532E12	0.0	
1.7687858369248657E12	0.0	
1.7687858369326782E12	0.0	
1.7687858369404907E12	0.0	
1.7687858369483032E12	0.0	
1.7687858369561157E12	0.0	
1.7687858369639282E12	0.0	
1.7687858369717407E12	0.0	
1.7687858369795532E12	0.0	
1.7687858369873657E12	0.0	
1.7687858369951782E12	0.0	
1.7687858370029907E12	0.0	
1.7687858370108032E12	0.0	
1.7687858370186157E12	0.0	
1.7687858370264282E12	0.0	
1.7687858370342407E12	0.0	
1.7687858370420532E12	0.0	
1.7687858370498657E12	0.0	
1.7687858370576782E12	0.0	
1.7687858370654907E12	0.0	
1.7687858370733032E12	0.0	
1.7687858370811157E12	0.0	
1.7687858370889282E12	0.0	
1.7687858370967407E12	0.0	
1.7687858371045532E12	0.0	
1.7687858371123657E12	0.0	
1.7687858371201782E12	0.0	
1.7687858371279907E12	0.0	
1.7687858371358032E12	0.0	
1.7687858371436157E12	0.0	
1.7687858371514282E12	0.0	
1.7687858371592407E12	0.0	
1.7687858371670532E12	0.0	
1.7687858371748657E12	0.0	
1.7687858371826782E12	0.0	
1.7687858371904907E12	0.0	
1.7687858371983032E12	0.0	
1.7687858372061157E12	0.0	
1.7687858372139282E12	0.0	
1.7687858372217407E12	0.0	
1.7687858372295532E12	0.0	
1.7687858372373657E12	0.0	
1.7687858372451782E12	0.0	
1.7687858372529907E12	0.0	
1.7687858372608032E12	0.0	
1.7687858372686157E12	0.0	
1.7687858372764282E12	0.0	
1.7687858372842407E12	0.0	
1.7687858372920532E12	0.0	
1.7687858372998657E12	0.0	
1.7687858373076782E12	0.0	
1.7687858373154907E12	0.0	
1.7687858373233032E12	0.0	
1.7687858373311157E12	0.0	
1.7687858373389282E12	0.0	
1.7687858373467407E12	0.0	
1.7687858373545532E12	0.0	
1.7687858373623657E12	0.0	
1.7687858373701782E12	0.0	
1.7687858373779907E12	0.0	
1.7687858373858032E12	0.0	
1.7687858373936157E12	0.0	
1.7687858374014282E12	0.0	
1.7687858374092407E12	0.0	
1.7687858374170532E12	0.0	
1.7687858374248657E12	0.0	
1.7687858374326782E12	0.0	
1.7687858374404907E12	0.0	
1.7687858374483032E12	0.0	
1.7687858374561157E12	0.0	
