"sep=	"
Shimmer_6815_Timestamp_Unix_CAL	Shimmer_6815_PPG_A13_CAL	
ms	mV	
1.7687947765651245E12	0.0	
1.768794776572937E12	0.0	
1.7687947765807495E12	0.0	
1.768794776588562E12	0.0	
1.7687947765963745E12	0.0	
1.768794776604187E12	0.0	
1.7687947766119995E12	0.0	
1.768794776619812E12	0.0	
1.7687947766276245E12	0.0	
1.768794776635437E12	0.0	
1.7687947766432495E12	0.0	
1.768794776651062E12	0.0	
1.7687947766588745E12	0.0	
1.768794776666687E12	0.0	
1.7687947766744995E12	0.0	
1.768794776682312E12	0.0	
1.7687947766901245E12	0.0	
1.768794776697937E12	0.0	
1.7687947767057495E12	0.0	
1.768794776713562E12	0.0	
1.7687947767213745E12	0.0	
1.768794776729187E12	0.0	
1.7687947767369995E12	0.0	
1.768794776744812E12	0.0	
1.7687947767526245E12	0.0	
1.768794776760437E12	0.0	
1.7687947767682495E12	0.0	
1.768794776776062E12	0.0	
1.7687947767838745E12	0.0	
1.768794776791687E12	0.0	
1.7687947767994995E12	0.0	
1.768794776807312E12	0.0	
1.7687947768151245E12	0.0	
1.768794776822937E12	0.0	
1.7687947768307495E12	0.0	
1.768794776838562E12	0.0	
1.7687947768463745E12	0.0	
1.768794776854187E12	0.0	
1.7687947768619995E12	0.0	
1.768794776869812E12	0.0	
1.7687947768776245E12	0.0	
1.768794776885437E12	0.0	
1.7687947768932495E12	0.0	
1.768794776901062E12	0.0	
1.7687947769088745E12	0.0	
1.768794776916687E12	0.0	
1.7687947769244995E12	0.0	
1.768794776932312E12	0.0	
1.7687947769401245E12	0.0	
1.768794776947937E12	0.0	
1.7687947769557495E12	0.0	
1.768794776963562E12	0.0	
1.7687947769713745E12	0.0	
1.768794776979187E12	0.0	
1.7687947769869995E12	0.0	
1.768794776994812E12	0.0	
1.7687947770026245E12	0.0	
1.768794777010437E12	0.0	
1.7687947770182495E12	0.0	
1.768794777026062E12	0.0	
1.7687947770338745E12	0.0	
1.768794777041687E12	0.0	
1.7687947770494995E12	0.0	
1.768794777057312E12	0.0	
1.7687947770651245E12	0.0	
1.768794777072937E12	0.0	
1.7687947770807495E12	0.0	
1.768794777088562E12	0.0	
1.7687947770963745E12	0.0	
1.768794777104187E12	0.0	
1.7687947771119995E12	0.0	
1.768794777119812E12	0.0	
1.7687947771276245E12	0.0	
1.768794777135437E12	0.0	
1.7687947771432495E12	0.0	
1.768794777151062E12	0.0	
1.7687947771588745E12	0.0	
1.768794777166687E12	0.0	
1.7687947771744995E12	0.0	
1.768794777182312E12	0.0	
1.7687947771901245E12	0.0	
1.768794777197937E12	0.0	
1.7687947772057495E12	0.0	
1.768794777213562E12	0.0	
1.7687947772213745E12	0.0	
1.768794777229187E12	0.0	
1.7687947772369995E12	0.0	
1.768794777244812E12	0.0	
1.7687947772526245E12	0.0	
1.768794777260437E12	0.0	
1.7687947772682495E12	0.0	
1.768794777276062E12	0.0	
1.7687947772838745E12	0.0	
1.768794777291687E12	0.0	
1.7687947772994995E12	0.0	
1.768794777307312E12	0.0	
1.7687947773151245E12	0.0	
1.768794777322937E12	0.0	
1.7687947773307495E12	0.0	
1.768794777338562E12	0.0	
1.7687947773463745E12	0.0	
1.768794777354187E12	0.0	
1.7687947773619995E12	0.0	
1.768794777369812E12	0.0	
1.7687947773776245E12	0.0	
1.768794777385437E12	0.0	
1.7687947773932495E12	0.0	
1.768794777401062E12	0.0	
1.7687947774088745E12	0.0	
1.768794777416687E12	0.0	
1.7687947774244995E12	0.0	
1.768794777432312E12	0.0	
1.7687947774401245E12	0.0	
1.768794777447937E12	0.0	
1.7687947774557495E12	0.0	
1.768794777463562E12	0.0	
1.7687947774713745E12	0.0	
1.768794777479187E12	0.0	
1.7687947774869995E12	0.0	
1.768794777494812E12	0.0	
1.7687947775026245E12	0.0	
1.768794777510437E12	0.0	
1.7687947775182495E12	0.0	
1.768794777526062E12	0.0	
1.7687947775338745E12	0.0	
1.768794777541687E12	0.0	
1.7687947775494995E12	0.0	
1.768794777557312E12	0.0	
1.7687947775651245E12	0.0	
1.768794777572937E12	0.0	
1.7687947775807495E12	0.0	
1.768794777588562E12	0.0	
