event,start_time_utc,end_time_utc,start_epoch,end_epoch,duration_sec
sync_start,2026-01-19T03:52:54.183003+00:00,2026-01-19T03:52:54.183003+00:00,1768794774.183003,1768794774.183003,0.0
inhale,2026-01-19T03:52:57.891070+00:00,2026-01-19T03:53:00.319147+00:00,1768794777.89107,1768794780.319147,2.428077
inhale,2026-01-19T03:53:03.421010+00:00,2026-01-19T03:53:05.472675+00:00,1768794783.42101,1768794785.472675,2.051665
inhale,2026-01-19T03:53:08.172981+00:00,2026-01-19T03:53:10.104802+00:00,1768794788.172981,1768794790.104802,1.931821
inhale,2026-01-19T03:53:12.789135+00:00,2026-01-19T03:53:14.617414+00:00,1768794792.789135,1768794794.617414,1.828279
inhale,2026-01-19T03:53:17.128749+00:00,2026-01-19T03:53:19.065447+00:00,1768794797.128749,1768794799.065447,1.936698
inhale,2026-01-19T03:53:21.873877+00:00,2026-01-19T03:53:23.954411+00:00,1768794801.873877,1768794803.954411,2.080534
inhale,2026-01-19T03:53:26.590858+00:00,2026-01-19T03:53:29.194334+00:00,1768794806.590858,1768794809.194334,2.603476
inhale,2026-01-19T03:53:31.845318+00:00,2026-01-19T03:53:33.678881+00:00,1768794811.845318,1768794813.678881,1.833563
inhale,2026-01-19T03:53:36.508615+00:00,2026-01-19T03:53:38.586042+00:00,1768794816.508615,1768794818.586042,2.077427
inhale,2026-01-19T03:53:41.241328+00:00,2026-01-19T03:53:43.565823+00:00,1768794821.241328,1768794823.565823,2.324495
inhale,2026-01-19T03:53:46.076541+00:00,2026-01-19T03:53:48.279065+00:00,1768794826.076541,1768794828.279065,2.202524
inhale,2026-01-19T03:53:51.292563+00:00,2026-01-19T03:53:53.838558+00:00,1768794831.292563,1768794833.838558,2.545995
inhale,2026-01-19T03:53:56.661532+00:00,2026-01-19T03:53:59.265141+00:00,1768794836.661532,1768794839.265141,2.603609
inhale,2026-01-19T03:54:01.761766+00:00,2026-01-19T03:54:04.197321+00:00,1768794841.761766,1768794844.197321,2.435555
inhale,2026-01-19T03:54:07.028445+00:00,2026-01-19T03:54:09.410864+00:00,1768794847.028445,1768794849.410864,2.382419
inhale,2026-01-19T03:54:11.996284+00:00,2026-01-19T03:54:14.673670+00:00,1768794851.996284,1768794854.67367,2.677386
inhale,2026-01-19T03:54:17.131802+00:00,2026-01-19T03:54:19.641621+00:00,1768794857.131802,1768794859.641621,2.509819
inhale,2026-01-19T03:54:22.322873+00:00,2026-01-19T03:54:24.677360+00:00,1768794862.322873,1768794864.67736,2.354487
inhale,2026-01-19T03:54:27.119521+00:00,2026-01-19T03:54:29.541846+00:00,1768794867.119521,1768794869.541846,2.422325
inhale,2026-01-19T03:54:32.221742+00:00,2026-01-19T03:54:34.784734+00:00,1768794872.221742,1768794874.784734,2.562992
inhale,2026-01-19T03:54:37.977328+00:00,2026-01-19T03:54:40.361775+00:00,1768794877.977328,1768794880.361775,2.384447
inhale,2026-01-19T03:54:43.617198+00:00,2026-01-19T03:54:46.305372+00:00,1768794883.617198,1768794886.305372,2.688174
inhale,2026-01-19T03:54:49.307522+00:00,2026-01-19T03:54:52.064559+00:00,1768794889.307522,1768794892.064559,2.757037
inhale,2026-01-19T03:54:55.431750+00:00,2026-01-19T03:54:58.047277+00:00,1768794895.43175,1768794898.047277,2.615527
