"sep=	"
Shimmer_6815_Timestamp_Unix_CAL	Shimmer_6815_PPG_A13_CAL	
ms	mV	
1.7687944449993591E12	0.0	
1.7687944450071716E12	0.0	
1.7687944450149841E12	0.0	
1.7687944450227966E12	0.0	
1.7687944450306091E12	0.0	
1.7687944450384216E12	0.0	
1.7687944450462341E12	0.0	
1.7687944450540466E12	0.0	
1.7687944450618591E12	0.0	
1.7687944450696716E12	0.0	
1.7687944450774841E12	0.0	
1.7687944450852966E12	0.0	
1.7687944450931091E12	0.0	
1.7687944451009216E12	0.0	
1.7687944451087341E12	0.0	
1.7687944451165466E12	0.0	
1.7687944451243591E12	0.0	
1.7687944451321716E12	0.0	
1.7687944451399841E12	0.0	
1.7687944451477966E12	0.0	
1.7687944451556091E12	0.0	
1.7687944451634216E12	0.0	
1.7687944451712341E12	0.0	
1.7687944451790466E12	0.0	
1.7687944451868591E12	0.0	
1.7687944451946716E12	0.0	
1.7687944452024841E12	0.0	
1.7687944452102966E12	0.0	
1.7687944452181091E12	0.0	
1.7687944452259216E12	0.0	
1.7687944452337341E12	0.0	
1.7687944452415466E12	0.0	
1.7687944452493591E12	0.0	
1.7687944452571716E12	0.0	
1.7687944452649841E12	0.0	
1.7687944452727966E12	0.0	
1.7687944452806091E12	0.0	
1.7687944452884216E12	0.0	
1.7687944452962341E12	0.0	
1.7687944453040466E12	0.0	
1.7687944453118591E12	0.0	
1.7687944453196716E12	0.0	
1.7687944453274841E12	0.0	
1.7687944453352966E12	0.0	
1.7687944453431091E12	0.0	
1.7687944453509216E12	0.0	
1.7687944453587341E12	0.0	
1.7687944453665466E12	0.0	
1.7687944453743591E12	0.0	
1.7687944453821716E12	0.0	
1.7687944453899841E12	0.0	
1.7687944453977966E12	0.0	
1.7687944454056091E12	0.0	
1.7687944454134216E12	0.0	
1.7687944454212341E12	0.0	
1.7687944454290466E12	0.0	
1.7687944454368591E12	0.0	
1.7687944454446716E12	0.0	
1.7687944454524841E12	0.0	
1.7687944454602966E12	0.0	
1.7687944454681091E12	0.0	
1.7687944454759216E12	0.0	
1.7687944454837341E12	0.0	
1.7687944454915466E12	0.0	
1.7687944454993591E12	0.0	
1.7687944455071716E12	0.0	
1.7687944455149841E12	0.0	
1.7687944455227966E12	0.0	
1.7687944455306091E12	0.0	
1.7687944455384216E12	0.0	
1.7687944455462341E12	0.0	
1.7687944455540466E12	0.0	
1.7687944455618591E12	0.0	
1.7687944455696716E12	0.0	
1.7687944455774841E12	0.0	
1.7687944455852966E12	0.0	
1.7687944455931091E12	0.0	
1.7687944456009216E12	0.0	
1.7687944456087341E12	0.0	
1.7687944456165466E12	0.0	
1.7687944456243591E12	0.0	
1.7687944456321716E12	0.0	
1.7687944456399841E12	0.0	
1.7687944456477966E12	0.0	
1.7687944456556091E12	0.0	
1.7687944456634216E12	0.0	
1.7687944456712341E12	0.0	
1.7687944456790466E12	0.0	
1.7687944456868591E12	0.0	
1.7687944456946716E12	0.0	
1.7687944457024841E12	0.0	
1.7687944457102966E12	0.0	
1.7687944457181091E12	0.0	
1.7687944457259216E12	0.0	
1.7687944457337341E12	0.0	
1.7687944457415466E12	0.0	
1.7687944457493591E12	0.0	
1.7687944457571716E12	0.0	
1.7687944457649841E12	0.0	
1.7687944457727966E12	0.0	
1.7687944457806091E12	0.0	
1.7687944457884216E12	0.0	
1.7687944457962341E12	0.0	
1.7687944458040466E12	0.0	
1.7687944458118591E12	0.0	
1.7687944458196716E12	0.0	
1.7687944458274841E12	0.0	
1.7687944458352966E12	0.0	
1.7687944458431091E12	0.0	
1.7687944458509216E12	0.0	
1.7687944458587341E12	0.0	
1.7687944458665466E12	0.0	
1.7687944458743591E12	0.0	
1.7687944458821716E12	0.0	
1.7687944458899841E12	0.0	
1.7687944458977966E12	0.0	
1.7687944459056091E12	0.0	
1.7687944459134216E12	0.0	
1.7687944459212341E12	0.0	
1.7687944459290466E12	0.0	
1.7687944459368591E12	0.0	
1.7687944459446716E12	0.0	
1.7687944459524841E12	0.0	
1.7687944459602966E12	0.0	
1.7687944459681091E12	0.0	
1.7687944459759216E12	0.0	
1.7687944459837341E12	0.0	
1.7687944459915466E12	0.0	
1.7687944459993591E12	0.0	
1.7687944460071716E12	0.0	
1.7687944460149841E12	0.0	
1.7687944460227966E12	0.0	
1.7687944460306091E12	0.0	
1.7687944460384216E12	0.0	
1.7687944460462341E12	0.0	
1.7687944460540466E12	0.0	
1.7687944460618591E12	0.0	
1.7687944460696716E12	0.0	
1.7687944460774841E12	0.0	
1.7687944460852966E12	0.0	
1.7687944460931091E12	0.0	
1.7687944461009216E12	0.0	
1.7687944461087341E12	0.0	
1.7687944461165466E12	0.0	
1.7687944461243591E12	0.0	
1.7687944461321716E12	0.0	
1.7687944461399841E12	0.0	
1.7687944461477966E12	0.0	
1.7687944461556091E12	0.0	
1.7687944461634216E12	0.0	
1.7687944461712341E12	0.0	
1.7687944461790466E12	0.0	
1.7687944461868591E12	0.0	
1.7687944461946716E12	0.0	
1.7687944462024841E12	0.0	
1.7687944462102966E12	0.0	
1.7687944462181091E12	0.0	
1.7687944462259216E12	0.0	
1.7687944462337341E12	0.0	
1.7687944462415466E12	0.0	
1.7687944462493591E12	0.0	
1.7687944462571716E12	0.0	
1.7687944462649841E12	0.0	
1.7687944462727966E12	0.0	
1.7687944462806091E12	0.0	
1.7687944462884216E12	0.0	
1.7687944462962341E12	0.0	
1.7687944463040466E12	0.0	
1.7687944463118591E12	0.0	
1.7687944463196716E12	0.0	
1.7687944463274841E12	0.0	
1.7687944463352966E12	0.0	
1.7687944463431091E12	0.0	
1.7687944463509216E12	0.0	
1.7687944463587341E12	0.0	
1.7687944463665466E12	0.0	
1.7687944463743591E12	0.0	
1.7687944463821716E12	0.0	
1.7687944463899841E12	0.0	
1.7687944463977966E12	0.0	
1.7687944464056091E12	0.0	
1.7687944464134216E12	0.0	
1.7687944464212341E12	0.0	
1.7687944464290466E12	0.0	
1.7687944464368591E12	0.0	
1.7687944464446716E12	0.0	
1.7687944464524841E12	0.0	
1.7687944464602966E12	0.0	
1.7687944464681091E12	0.0	
1.7687944464759216E12	0.0	
1.7687944464837341E12	0.0	
1.7687944464915466E12	0.0	
1.7687944464993591E12	0.0	
1.7687944465071716E12	0.0	
1.7687944465149841E12	0.0	
1.7687944465227966E12	0.0	
1.7687944465306091E12	0.0	
1.7687944465384216E12	0.0	
1.7687944465462341E12	0.0	
1.7687944465540466E12	0.0	
1.7687944465618591E12	0.0	
1.7687944465696716E12	0.0	
1.7687944465774841E12	0.0	
1.7687944465852966E12	0.0	
1.7687944465931091E12	0.0	
1.7687944466009216E12	0.0	
1.7687944466087341E12	0.0	
1.7687944466165466E12	0.0	
1.7687944466243591E12	0.0	
1.7687944466321716E12	0.0	
1.7687944466399841E12	0.0	
1.7687944466477966E12	0.0	
1.7687944466556091E12	0.0	
1.7687944466634216E12	0.0	
1.7687944466712341E12	0.0	
1.7687944466790466E12	0.0	
1.7687944466868591E12	0.0	
1.7687944466946716E12	0.0	
1.7687944467024841E12	0.0	
1.7687944467102966E12	0.0	
1.7687944467181091E12	0.0	
1.7687944467259216E12	0.0	
1.7687944467337341E12	0.0	
1.7687944467415466E12	0.0	
1.7687944467493591E12	0.0	
1.7687944467571716E12	0.0	
1.7687944467649841E12	0.0	
1.7687944467727966E12	0.0	
1.7687944467806091E12	0.0	
1.7687944467884216E12	0.0	
1.7687944467962341E12	0.0	
1.7687944468040466E12	0.0	
1.7687944468118591E12	0.0	
1.7687944468196716E12	0.0	
1.7687944468274841E12	0.0	
1.7687944468352966E12	0.0	
1.7687944468431091E12	0.0	
1.7687944468509216E12	0.0	
1.7687944468587341E12	0.0	
1.7687944468665466E12	0.0	
1.7687944468743591E12	0.0	
1.7687944468821716E12	0.0	
1.7687944468899841E12	0.0	
1.7687944468977966E12	0.0	
1.7687944469056091E12	0.0	
1.7687944469134216E12	0.0	
1.7687944469212341E12	0.0	
1.7687944469290466E12	0.0	
1.7687944469368591E12	0.0	
1.7687944469446716E12	0.0	
1.7687944469524841E12	0.0	
1.7687944469602966E12	0.0	
1.7687944469681091E12	0.0	
1.7687944469759216E12	0.0	
1.7687944469837341E12	0.0	
1.7687944469915466E12	0.0	
1.7687944469993591E12	0.0	
1.7687944470071716E12	0.0	
1.7687944470149841E12	0.0	
1.7687944470227966E12	0.0	
1.7687944470306091E12	0.0	
1.7687944470384216E12	0.0	
1.7687944470462341E12	0.0	
1.7687944470540466E12	0.0	
1.7687944470618591E12	0.0	
1.7687944470696716E12	0.0	
1.7687944470774841E12	0.0	
1.7687944470852966E12	0.0	
1.7687944470931091E12	0.0	
1.7687944471009216E12	0.0	
1.7687944471087341E12	0.0	
1.7687944471165466E12	0.0	
1.7687944471243591E12	0.0	
1.7687944471321716E12	0.0	
1.7687944471399841E12	0.0	
1.7687944471477966E12	0.0	
1.7687944471556091E12	0.0	
1.7687944471634216E12	0.0	
1.7687944471712341E12	0.0	
1.7687944471790466E12	0.0	
1.7687944471868591E12	0.0	
1.7687944471946716E12	0.0	
1.7687944472024841E12	0.0	
1.7687944472102966E12	0.0	
1.7687944472181091E12	0.0	
1.7687944472259216E12	0.0	
1.7687944472337341E12	0.0	
1.7687944472415466E12	0.0	
1.7687944472493591E12	0.0	
1.7687944472571716E12	0.0	
1.7687944472649841E12	0.0	
1.7687944472727966E12	0.0	
1.7687944472806091E12	0.0	
1.7687944472884216E12	0.0	
1.7687944472962341E12	0.0	
1.7687944473040466E12	0.0	
1.7687944473118591E12	0.0	
1.7687944473196716E12	0.0	
1.7687944473274841E12	0.0	
1.7687944473352966E12	0.0	
1.7687944473431091E12	0.0	
1.7687944473509216E12	0.0	
1.7687944473587341E12	0.0	
1.7687944473665466E12	0.0	
1.7687944473743591E12	0.0	
1.7687944473821716E12	0.0	
1.7687944473899841E12	0.0	
1.7687944473977966E12	0.0	
1.7687944474056091E12	0.0	
1.7687944474134216E12	0.0	
1.7687944474212341E12	0.0	
1.7687944474290466E12	0.0	
1.7687944474368591E12	0.0	
1.7687944474446716E12	0.0	
1.7687944474524841E12	0.0	
1.7687944474602966E12	0.0	
1.7687944474681091E12	0.0	
1.7687944474759216E12	0.0	
1.7687944474837341E12	0.0	
1.7687944474915466E12	0.0	
1.7687944474993591E12	0.0	
1.7687944475071716E12	0.0	
1.7687944475149841E12	0.0	
1.7687944475227966E12	0.0	
1.7687944475306091E12	0.0	
1.7687944475384216E12	0.0	
1.7687944475462341E12	0.0	
1.7687944475540466E12	0.0	
1.7687944475618591E12	0.0	
1.7687944475696716E12	0.0	
1.7687944475774841E12	0.0	
1.7687944475852966E12	0.0	
