event,start_time_utc,end_time_utc,start_epoch,end_epoch,duration_sec
sync_start,2026-01-19T03:47:23.819077+00:00,2026-01-19T03:47:23.819077+00:00,1768794443.819077,1768794443.819077,0.0
inhale,2026-01-19T03:47:27.294679+00:00,2026-01-19T03:47:29.774105+00:00,1768794447.294679,1768794449.774105,2.479426
inhale,2026-01-19T03:47:32.823218+00:00,2026-01-19T03:47:35.167279+00:00,1768794452.823218,1768794455.167279,2.344061
inhale,2026-01-19T03:47:38.533238+00:00,2026-01-19T03:47:40.697070+00:00,1768794458.533238,1768794460.69707,2.163832
inhale,2026-01-19T03:47:43.989831+00:00,2026-01-19T03:47:46.327072+00:00,1768794463.989831,1768794466.327072,2.337241
inhale,2026-01-19T03:47:49.399810+00:00,2026-01-19T03:47:51.791380+00:00,1768794469.39981,1768794471.79138,2.39157
inhale,2026-01-19T03:47:54.962970+00:00,2026-01-19T03:47:57.073149+00:00,1768794474.96297,1768794477.073149,2.110179
inhale,2026-01-19T03:47:59.880108+00:00,2026-01-19T03:48:02.766664+00:00,1768794479.880108,1768794482.766664,2.886556
inhale,2026-01-19T03:48:05.750290+00:00,2026-01-19T03:48:08.319040+00:00,1768794485.75029,1768794488.31904,2.56875
inhale,2026-01-19T03:48:11.118334+00:00,2026-01-19T03:48:13.926069+00:00,1768794491.118334,1768794493.926069,2.807735
inhale,2026-01-19T03:48:16.888629+00:00,2026-01-19T03:48:19.671926+00:00,1768794496.888629,1768794499.671926,2.783297
inhale,2026-01-19T03:48:22.804079+00:00,2026-01-19T03:48:25.478026+00:00,1768794502.804079,1768794505.478026,2.673947
inhale,2026-01-19T03:48:29.910803+00:00,2026-01-19T03:48:32.138509+00:00,1768794509.910803,1768794512.138509,2.227706
inhale,2026-01-19T03:48:35.420430+00:00,2026-01-19T03:48:37.886401+00:00,1768794515.42043,1768794517.886401,2.465971
inhale,2026-01-19T03:48:41.543130+00:00,2026-01-19T03:48:44.518461+00:00,1768794521.54313,1768794524.518461,2.975331
inhale,2026-01-19T03:48:47.514313+00:00,2026-01-19T03:48:49.994912+00:00,1768794527.514313,1768794529.994912,2.480599
inhale,2026-01-19T03:48:52.623228+00:00,2026-01-19T03:48:55.180164+00:00,1768794532.623228,1768794535.180164,2.556936
inhale,2026-01-19T03:48:57.918904+00:00,2026-01-19T03:49:00.285932+00:00,1768794537.918904,1768794540.285932,2.367028
inhale,2026-01-19T03:49:03.456569+00:00,2026-01-19T03:49:06.311184+00:00,1768794543.456569,1768794546.311184,2.854615
inhale,2026-01-19T03:49:10.419089+00:00,2026-01-19T03:49:13.034891+00:00,1768794550.419089,1768794553.034891,2.615802
inhale,2026-01-19T03:49:17.318413+00:00,2026-01-19T03:49:19.838060+00:00,1768794557.318413,1768794559.83806,2.519647
inhale,2026-01-19T03:49:22.864835+00:00,2026-01-19T03:49:25.448184+00:00,1768794562.864835,1768794565.448184,2.583349
inhale,2026-01-19T03:49:28.341688+00:00,2026-01-19T03:49:30.239403+00:00,1768794568.341688,1768794570.239403,1.897715
