event,start_time_utc,end_time_utc,start_epoch,end_epoch,duration_sec
sync_start,2026-01-20T01:16:50.977157+00:00,2026-01-20T01:16:50.977157+00:00,1768871810.977157,1768871810.977157,0.0
inhale,2026-01-20T01:16:53.373006+00:00,2026-01-20T01:16:54.749705+00:00,1768871813.373006,1768871814.749705,1.376699
inhale,2026-01-20T01:16:56.309799+00:00,2026-01-20T01:16:57.791383+00:00,1768871816.309799,1768871817.791383,1.481584
inhale,2026-01-20T01:16:59.476808+00:00,2026-01-20T01:17:01.146005+00:00,1768871819.476808,1768871821.146005,1.669197
inhale,2026-01-20T01:17:02.847920+00:00,2026-01-20T01:17:04.490717+00:00,1768871822.84792,1768871824.490717,1.642797
inhale,2026-01-20T01:17:06.115496+00:00,2026-01-20T01:17:07.647629+00:00,1768871826.115496,1768871827.647629,1.532133
inhale,2026-01-20T01:17:09.342133+00:00,2026-01-20T01:17:10.785091+00:00,1768871829.342133,1768871830.785091,1.442958
inhale,2026-01-20T01:17:12.353018+00:00,2026-01-20T01:17:13.592588+00:00,1768871832.353018,1768871833.592588,1.23957
inhale,2026-01-20T01:17:15.127769+00:00,2026-01-20T01:17:16.536304+00:00,1768871835.127769,1768871836.536304,1.408535
inhale,2026-01-20T01:17:18.055536+00:00,2026-01-20T01:17:19.538510+00:00,1768871838.055536,1768871839.53851,1.482974
inhale,2026-01-20T01:17:21.208410+00:00,2026-01-20T01:17:22.601561+00:00,1768871841.20841,1768871842.601561,1.393151
inhale,2026-01-20T01:17:24.163822+00:00,2026-01-20T01:17:25.562192+00:00,1768871844.163822,1768871845.562192,1.39837
inhale,2026-01-20T01:17:27.071913+00:00,2026-01-20T01:17:28.607867+00:00,1768871847.071913,1768871848.607867,1.535954
inhale,2026-01-20T01:17:30.273132+00:00,2026-01-20T01:17:31.592811+00:00,1768871850.273132,1768871851.592811,1.319679
inhale,2026-01-20T01:17:33.019779+00:00,2026-01-20T01:17:34.523494+00:00,1768871853.019779,1768871854.523494,1.503715
inhale,2026-01-20T01:17:35.651027+00:00,2026-01-20T01:17:37.185256+00:00,1768871855.651027,1768871857.185256,1.534229
inhale,2026-01-20T01:17:38.457334+00:00,2026-01-20T01:17:39.692608+00:00,1768871858.457334,1768871859.692608,1.235274
inhale,2026-01-20T01:17:41.070554+00:00,2026-01-20T01:17:42.155858+00:00,1768871861.070554,1768871862.155858,1.085304
inhale,2026-01-20T01:17:43.563963+00:00,2026-01-20T01:17:44.707084+00:00,1768871863.563963,1768871864.707084,1.143121
inhale,2026-01-20T01:17:46.247779+00:00,2026-01-20T01:17:47.446089+00:00,1768871866.247779,1768871867.446089,1.19831
inhale,2026-01-20T01:17:49.138671+00:00,2026-01-20T01:17:50.311820+00:00,1768871869.138671,1768871870.31182,1.173149
inhale,2026-01-20T01:17:51.865754+00:00,2026-01-20T01:17:53.071931+00:00,1768871871.865754,1768871873.071931,1.206177
inhale,2026-01-20T01:17:54.611527+00:00,2026-01-20T01:17:55.860493+00:00,1768871874.611527,1768871875.860493,1.248966
inhale,2026-01-20T01:17:57.414764+00:00,2026-01-20T01:17:58.752749+00:00,1768871877.414764,1768871878.752749,1.337985
