"sep=	"
Shimmer_6815_Timestamp_Unix_CAL	Shimmer_6815_PPG_A13_CAL	
ms	mV	
1.7687937620352173E12	0.0	
1.7687937620430298E12	0.0	
1.7687937620508423E12	0.0	
1.7687937620586548E12	0.0	
1.7687937620664673E12	0.0	
1.7687937620742798E12	0.0	
1.7687937620820923E12	0.0	
1.7687937620899048E12	0.0	
1.7687937620977173E12	0.0	
1.7687937621055298E12	0.0	
1.7687937621133423E12	0.0	
1.7687937621211548E12	0.0	
1.7687937621289673E12	0.0	
1.7687937621367798E12	0.0	
1.7687937621445923E12	0.0	
1.7687937621524048E12	0.0	
1.7687937621602173E12	0.0	
1.7687937621680298E12	0.0	
1.7687937621758423E12	0.0	
1.7687937621836548E12	0.0	
1.7687937621914673E12	0.0	
1.7687937621992798E12	0.0	
1.7687937622070923E12	0.0	
1.7687937622149048E12	0.0	
1.7687937622227173E12	0.0	
1.7687937622305298E12	0.0	
1.7687937622383423E12	0.0	
1.7687937622461548E12	0.0	
1.7687937622539673E12	0.0	
1.7687937622617798E12	0.0	
1.7687937622695923E12	0.0	
1.7687937622774048E12	0.0	
1.7687937622852173E12	0.0	
1.7687937622930298E12	0.0	
1.7687937623008423E12	0.0	
1.7687937623086548E12	0.0	
1.7687937623164673E12	0.0	
1.7687937623242798E12	0.0	
1.7687937623320923E12	0.0	
1.7687937623399048E12	0.0	
1.7687937623477173E12	0.0	
1.7687937623555298E12	0.0	
1.7687937623633728E12	0.0	
1.7687937623711548E12	0.0	
1.7687937623789673E12	0.0	
1.7687937623867798E12	0.0	
1.7687937623945923E12	0.0	
1.7687937624024048E12	0.0	
1.7687937624102173E12	0.0	
1.7687937624180298E12	0.0	
1.7687937624258423E12	0.0	
1.7687937624336548E12	0.0	
1.7687937624414673E12	0.0	
1.7687937624492798E12	0.0	
1.7687937624570923E12	0.0	
1.7687937624649048E12	0.0	
1.7687937624727173E12	0.0	
1.7687937624805298E12	0.0	
1.7687937624883423E12	0.0	
1.7687937624961548E12	0.0	
1.7687937625039673E12	0.0	
1.7687937625117798E12	0.0	
1.7687937625195923E12	0.0	
1.7687937625274048E12	0.0	
1.7687937625352173E12	0.0	
1.7687937625430298E12	0.0	
1.7687937625508423E12	0.0	
1.7687937625586548E12	0.0	
1.7687937625664673E12	0.0	
1.7687937625742798E12	0.0	
1.7687937625820923E12	0.0	
1.7687937625899048E12	0.0	
1.7687937625977173E12	0.0	
1.7687937626055298E12	0.0	
1.7687937626133423E12	0.0	
1.7687937626211548E12	0.0	
1.7687937626289673E12	0.0	
1.7687937626367798E12	0.0	
1.7687937626445923E12	0.0	
1.7687937626524048E12	0.0	
1.7687937626602173E12	0.0	
1.7687937626680298E12	0.0	
1.7687937626758423E12	0.0	
1.7687937626836548E12	0.0	
1.7687937626914673E12	0.0	
1.7687937626992798E12	0.0	
1.7687937627070923E12	0.0	
1.7687937627149048E12	0.0	
1.7687937627227173E12	0.0	
1.7687937627305298E12	0.0	
1.7687937627383423E12	0.0	
1.7687937627461548E12	0.0	
1.7687937627539673E12	0.0	
1.7687937627617798E12	0.0	
1.7687937627695923E12	0.0	
1.7687937627774048E12	0.0	
1.7687937627852173E12	0.0	
1.7687937627930298E12	0.0	
1.7687937628008423E12	0.7326007326007326	
1.7687937628086548E12	0.0	
1.7687937628164673E12	0.0	
1.7687937628242798E12	0.0	
1.7687937628320923E12	0.0	
1.7687937628399048E12	0.0	
1.7687937628477173E12	0.0	
1.7687937628555298E12	0.0	
1.7687937628633423E12	0.0	
1.7687937628711548E12	0.0	
1.7687937628789673E12	0.0	
1.7687937628867798E12	0.0	
1.7687937628945923E12	0.0	
1.7687937629024048E12	0.0	
1.7687937629102173E12	0.0	
1.7687937629180298E12	0.0	
1.7687937629258423E12	0.0	
1.7687937629336548E12	0.0	
1.7687937629414673E12	0.0	
1.7687937629492798E12	0.0	
1.7687937629570923E12	0.0	
1.7687937629649048E12	0.0	
1.7687937629727173E12	0.0	
1.7687937629805298E12	0.0	
1.7687937629883423E12	0.0	
1.7687937629961548E12	0.0	
1.7687937630039673E12	0.0	
1.7687937630117798E12	0.0	
1.7687937630195923E12	0.0	
1.7687937630274048E12	0.0	
1.7687937630352173E12	0.0	
1.7687937630430298E12	0.0	
1.7687937630508423E12	0.0	
1.7687937630586548E12	0.0	
1.7687937630664673E12	0.0	
1.7687937630742798E12	0.0	
1.7687937630820923E12	0.0	
1.7687937630899048E12	0.0	
1.7687937630977173E12	0.0	
1.7687937631055298E12	0.0	
1.7687937631133423E12	0.0	
1.7687937631211548E12	0.0	
1.7687937631289673E12	0.0	
1.7687937631367798E12	0.0	
1.7687937631445923E12	0.0	
1.7687937631524048E12	0.0	
1.7687937631602173E12	0.0	
1.7687937631680298E12	0.0	
1.7687937631758423E12	0.0	
1.7687937631836548E12	0.0	
1.7687937631914673E12	0.0	
1.7687937631992798E12	0.0	
1.7687937632070923E12	0.0	
1.7687937632149048E12	0.0	
1.7687937632227173E12	0.0	
1.7687937632305298E12	0.0	
1.7687937632383423E12	0.0	
1.7687937632461548E12	0.0	
1.7687937632539673E12	0.0	
1.7687937632617798E12	0.0	
1.7687937632695923E12	0.0	
1.7687937632774048E12	0.0	
1.7687937632852173E12	0.0	
1.7687937632930298E12	0.0	
1.7687937633008423E12	0.0	
1.7687937633086548E12	0.0	
1.7687937633164673E12	0.0	
1.7687937633242798E12	0.0	
1.7687937633320923E12	0.0	
1.7687937633399048E12	0.0	
1.7687937633477173E12	0.0	
1.7687937633555298E12	0.0	
1.7687937633633423E12	0.0	
1.7687937633711548E12	0.0	
1.7687937633789673E12	0.0	
1.7687937633867798E12	0.0	
1.7687937633945923E12	0.0	
1.7687937634024048E12	0.0	
1.7687937634102173E12	0.0	
1.7687937634180298E12	0.0	
1.7687937634258423E12	0.0	
1.7687937634336548E12	0.0	
1.7687937634414673E12	0.0	
1.7687937634492798E12	0.0	
1.7687937634570923E12	0.0	
1.7687937634649048E12	0.0	
1.7687937634727173E12	0.0	
1.7687937634805298E12	0.0	
1.7687937634883423E12	0.0	
1.7687937634961548E12	0.0	
1.7687937635039673E12	0.0	
1.7687937635117798E12	0.0	
1.7687937635195923E12	0.0	
1.7687937635274048E12	0.0	
1.7687937635352173E12	0.0	
1.7687937635430298E12	0.0	
1.7687937635508423E12	0.0	
1.7687937635586548E12	0.0	
1.7687937635664673E12	0.0	
1.7687937635742798E12	0.0	
1.7687937635820923E12	0.0	
1.7687937635899048E12	0.0	
1.7687937635977173E12	0.0	
1.7687937636055298E12	0.0	
1.7687937636133423E12	0.0	
1.7687937636211548E12	0.0	
1.7687937636289673E12	0.0	
1.7687937636367798E12	0.0	
1.7687937636445923E12	0.0	
1.7687937636524048E12	0.0	
1.7687937636602173E12	0.0	
1.7687937636680298E12	0.0	
1.7687937636758423E12	0.0	
1.7687937636836548E12	0.0	
1.7687937636914673E12	0.0	
1.7687937636992798E12	0.0	
1.7687937637070923E12	0.0	
1.7687937637149048E12	0.0	
1.7687937637227173E12	0.0	
1.7687937637305298E12	0.0	
1.7687937637383423E12	0.0	
1.7687937637461548E12	0.0	
1.7687937637539673E12	0.0	
1.7687937637617798E12	0.0	
1.7687937637695923E12	0.0	
1.7687937637774048E12	0.0	
1.7687937637852173E12	0.0	
1.7687937637930298E12	0.0	
1.7687937638008423E12	0.0	
1.7687937638086548E12	0.0	
1.7687937638164673E12	0.0	
1.7687937638242798E12	0.0	
1.7687937638320923E12	0.0	
1.7687937638399048E12	0.0	
1.7687937638477173E12	0.0	
1.7687937638555298E12	0.0	
1.7687937638633423E12	0.0	
1.7687937638711548E12	0.0	
1.7687937638789673E12	0.0	
1.7687937638867798E12	0.0	
1.7687937638945923E12	0.0	
1.7687937639024048E12	0.0	
1.7687937639102173E12	0.0	
1.7687937639180298E12	0.0	
1.7687937639258423E12	0.0	
1.7687937639336548E12	0.0	
1.7687937639414673E12	0.0	
1.7687937639492798E12	0.0	
1.7687937639570923E12	0.0	
1.7687937639649048E12	0.0	
1.7687937639727173E12	0.0	
1.7687937639805298E12	0.0	
1.7687937639883423E12	0.0	
1.7687937639961548E12	0.0	
1.7687937640039673E12	0.0	
1.7687937640117798E12	0.0	
1.7687937640195923E12	0.0	
1.7687937640274048E12	0.0	
1.7687937640352173E12	0.0	
1.7687937640430298E12	0.0	
1.7687937640508423E12	0.0	
1.7687937640586548E12	0.0	
1.7687937640664673E12	0.0	
1.7687937640742798E12	0.0	
1.7687937640820923E12	0.0	
1.7687937640899048E12	0.0	
1.7687937640977173E12	0.0	
1.7687937641055298E12	0.0	
1.7687937641133423E12	0.0	
1.7687937641211548E12	0.0	
1.7687937641289673E12	0.0	
1.7687937641367798E12	0.0	
1.7687937641445923E12	0.0	
1.7687937641524048E12	0.0	
1.7687937641602173E12	0.0	
1.7687937641680298E12	0.0	
1.7687937641758423E12	0.0	
1.7687937641836548E12	0.0	
1.7687937641914673E12	0.0	
1.7687937641992798E12	0.0	
1.7687937642070923E12	0.0	
1.7687937642149048E12	0.0	
1.7687937642227173E12	0.0	
1.7687937642305298E12	0.0	
1.7687937642383423E12	0.0	
1.7687937642461548E12	0.0	
1.7687937642539673E12	0.0	
1.7687937642617798E12	0.0	
1.7687937642695923E12	0.0	
1.7687937642774048E12	0.0	
1.7687937642852173E12	0.0	
1.7687937642930298E12	0.0	
1.7687937643008423E12	0.0	
1.7687937643086548E12	0.0	
1.7687937643164673E12	0.0	
1.7687937643242798E12	0.0	
1.7687937643320923E12	0.0	
1.7687937643399048E12	0.0	
1.7687937643477173E12	0.0	
1.7687937643555298E12	0.0	
1.7687937643633423E12	0.0	
1.7687937643711548E12	0.0	
1.7687937643789673E12	0.0	
1.7687937643867798E12	0.0	
1.7687937643945923E12	0.0	
1.7687937644024048E12	0.0	
1.7687937644102173E12	0.0	
1.7687937644180298E12	0.0	
1.7687937644258423E12	0.0	
1.7687937644336548E12	0.0	
1.7687937644414673E12	0.0	
1.7687937644492798E12	0.0	
1.7687937644570923E12	0.0	
1.7687937644649048E12	0.0	
1.7687937644727173E12	0.0	
1.7687937644805298E12	0.0	
1.7687937644883423E12	0.0	
1.7687937644961548E12	0.0	
1.7687937645039673E12	0.0	
1.7687937645117798E12	0.0	
1.7687937645195923E12	0.0	
1.7687937645274048E12	0.0	
1.7687937645352173E12	0.0	
1.7687937645430298E12	0.0	
1.7687937645508423E12	0.0	
1.7687937645586548E12	0.0	
1.7687937645664673E12	0.0	
1.7687937645742798E12	0.0	
1.7687937645820923E12	0.0	
1.7687937645899048E12	0.0	
1.7687937645977173E12	0.0	
1.7687937646055298E12	0.0	
1.7687937646133423E12	0.0	
1.7687937646211548E12	0.0	
1.7687937646289673E12	0.0	
1.7687937646367798E12	0.0	
1.7687937646445923E12	0.0	
1.7687937646524048E12	0.0	
1.7687937646602173E12	0.0	
1.7687937646680298E12	0.0	
1.7687937646758423E12	0.0	
1.7687937646836548E12	0.0	
1.7687937646914673E12	0.0	
1.7687937646992798E12	0.0	
1.7687937647070923E12	0.0	
1.7687937647149048E12	0.0	
1.7687937647227173E12	0.0	
1.7687937647305298E12	0.0	
1.7687937647383423E12	0.0	
1.7687937647461548E12	0.0	
1.7687937647539673E12	0.0	
1.7687937647617798E12	0.0	
1.7687937647695923E12	0.0	
1.7687937647774048E12	0.0	
1.7687937647852173E12	0.0	
1.7687937647930298E12	0.0	
1.7687937648008423E12	0.0	
1.7687937648086548E12	0.0	
1.7687937648164673E12	0.0	
1.7687937648242798E12	0.0	
1.7687937648320923E12	0.0	
1.7687937648399048E12	0.0	
1.7687937648477173E12	0.0	
1.7687937648555298E12	0.0	
1.7687937648633423E12	0.0	
1.7687937648711548E12	0.0	
1.7687937648789673E12	0.0	
1.7687937648867798E12	0.0	
1.7687937648945923E12	0.0	
1.7687937649024048E12	0.0	
1.7687937649102173E12	0.0	
1.7687937649180298E12	0.0	
1.7687937649258423E12	0.0	
1.7687937649336548E12	0.0	
1.7687937649414673E12	0.0	
1.7687937649492798E12	0.0	
1.7687937649570923E12	0.0	
1.7687937649649048E12	0.0	
1.7687937649727173E12	0.0	
1.7687937649805298E12	0.0	
1.7687937649883423E12	0.0	
1.7687937649961548E12	0.0	
1.7687937650039673E12	0.0	
1.7687937650117798E12	0.0	
1.7687937650195923E12	0.0	
1.7687937650274048E12	0.0	
1.7687937650352173E12	0.0	
1.7687937650430298E12	0.0	
1.7687937650508423E12	0.0	
1.7687937650586548E12	0.0	
1.7687937650664673E12	0.0	
1.7687937650742798E12	0.0	
1.7687937650820923E12	0.0	
1.7687937650899048E12	0.0	
1.7687937650977173E12	0.0	
1.7687937651055298E12	0.0	
1.7687937651133423E12	0.0	
1.7687937651211548E12	0.0	
1.7687937651289673E12	0.0	
1.7687937651367798E12	0.0	
1.7687937651445923E12	0.0	
1.7687937651524048E12	0.0	
1.7687937651602173E12	0.0	
1.7687937651680298E12	0.0	
1.7687937651758423E12	0.0	
1.7687937651836548E12	0.0	
1.7687937651914673E12	0.0	
1.7687937651992798E12	0.0	
1.7687937652070923E12	0.0	
1.7687937652149048E12	0.0	
1.7687937652227173E12	0.0	
1.7687937652305298E12	0.0	
1.7687937652383423E12	0.0	
1.7687937652461548E12	0.0	
1.7687937652539673E12	0.0	
1.7687937652617798E12	0.0	
1.7687937652695923E12	0.0	
1.7687937652774048E12	0.0	
1.7687937652852173E12	0.0	
1.7687937652930298E12	0.0	
1.7687937653008423E12	0.0	
1.7687937653086548E12	0.0	
1.7687937653164673E12	0.0	
1.7687937653242798E12	0.0	
1.7687937653320923E12	0.0	
1.7687937653399048E12	0.0	
1.7687937653477173E12	0.0	
1.7687937653555298E12	0.0	
1.7687937653633423E12	0.0	
1.7687937653711548E12	0.0	
1.7687937653789673E12	0.0	
1.7687937653867798E12	0.0	
1.7687937653945923E12	0.0	
1.7687937654024048E12	0.0	
1.7687937654102173E12	0.0	
1.7687937654180298E12	0.0	
1.7687937654258423E12	0.0	
1.7687937654336548E12	0.0	
1.7687937654414673E12	0.0	
1.7687937654492798E12	0.0	
1.7687937654570923E12	0.0	
