event,start_time_utc,end_time_utc,start_epoch,end_epoch,duration_sec
sync_start,2026-01-19T01:57:16.818258+00:00,2026-01-19T01:57:16.818258+00:00,1768787836.818258,1768787836.818258,0.0
inhale,2026-01-19T01:57:19.844374+00:00,2026-01-19T01:57:22.161578+00:00,1768787839.844374,1768787842.161578,2.317204
inhale,2026-01-19T01:57:25.254066+00:00,2026-01-19T01:57:27.585495+00:00,1768787845.254066,1768787847.585495,2.331429
inhale,2026-01-19T01:57:30.371100+00:00,2026-01-19T01:57:33.066617+00:00,1768787850.3711,1768787853.066617,2.695517
inhale,2026-01-19T01:57:36.134623+00:00,2026-01-19T01:57:39.311796+00:00,1768787856.134623,1768787859.311796,3.177173
inhale,2026-01-19T01:57:42.741109+00:00,2026-01-19T01:57:45.502968+00:00,1768787862.741109,1768787865.502968,2.761859
inhale,2026-01-19T01:57:48.778610+00:00,2026-01-19T01:57:51.743312+00:00,1768787868.77861,1768787871.743312,2.964702
inhale,2026-01-19T01:57:55.418969+00:00,2026-01-19T01:57:58.499717+00:00,1768787875.418969,1768787878.499717,3.080748
inhale,2026-01-19T01:58:02.225690+00:00,2026-01-19T01:58:05.427536+00:00,1768787882.22569,1768787885.427536,3.201846
inhale,2026-01-19T01:58:09.033128+00:00,2026-01-19T01:58:12.034412+00:00,1768787889.033128,1768787892.034412,3.001284
inhale,2026-01-19T01:58:15.461915+00:00,2026-01-19T01:58:18.277887+00:00,1768787895.461915,1768787898.277887,2.815972
inhale,2026-01-19T01:58:22.119210+00:00,2026-01-19T01:58:25.288787+00:00,1768787902.11921,1768787905.288787,3.169577
inhale,2026-01-19T01:58:29.132124+00:00,2026-01-19T01:58:32.407913+00:00,1768787909.132124,1768787912.407913,3.275789
inhale,2026-01-19T01:58:36.995999+00:00,2026-01-19T01:58:40.165695+00:00,1768787916.995999,1768787920.165695,3.169696
inhale,2026-01-19T01:58:43.792803+00:00,2026-01-19T01:58:46.766672+00:00,1768787923.792803,1768787926.766672,2.973869
inhale,2026-01-19T01:58:50.470649+00:00,2026-01-19T01:58:53.577672+00:00,1768787930.470649,1768787933.577672,3.107023
inhale,2026-01-19T01:58:57.814439+00:00,2026-01-19T01:59:01.209350+00:00,1768787937.814439,1768787941.20935,3.394911
inhale,2026-01-19T01:59:05.564901+00:00,2026-01-19T01:59:07.764766+00:00,1768787945.564901,1768787947.764766,2.199865
inhale,2026-01-19T01:59:11.824282+00:00,2026-01-19T01:59:14.790667+00:00,1768787951.824282,1768787954.790667,2.966385
inhale,2026-01-19T01:59:18.306042+00:00,2026-01-19T01:59:21.351283+00:00,1768787958.306042,1768787961.351283,3.045241
