event,start_time_utc,end_time_utc,start_epoch,end_epoch,duration_sec
sync_start,2026-01-18T22:10:19.407483+00:00,2026-01-18T22:10:19.407483+00:00,1768774219.407483,1768774219.407483,0.0
inhale,2026-01-18T22:10:22.643298+00:00,2026-01-18T22:10:25.132574+00:00,1768774222.643298,1768774225.132574,2.489276
inhale,2026-01-18T22:10:29.354986+00:00,2026-01-18T22:10:32.382330+00:00,1768774229.354986,1768774232.38233,3.027344
inhale,2026-01-18T22:10:36.441596+00:00,2026-01-18T22:10:39.941959+00:00,1768774236.441596,1768774239.941959,3.500363
inhale,2026-01-18T22:10:43.384263+00:00,2026-01-18T22:10:46.796456+00:00,1768774243.384263,1768774246.796456,3.412193
inhale,2026-01-18T22:10:51.321272+00:00,2026-01-18T22:10:53.878571+00:00,1768774251.321272,1768774253.878571,2.557299
inhale,2026-01-18T22:10:58.861457+00:00,2026-01-18T22:11:02.606721+00:00,1768774258.861457,1768774262.606721,3.745264
inhale,2026-01-18T22:11:06.827408+00:00,2026-01-18T22:11:10.157502+00:00,1768774266.827408,1768774270.157502,3.330094
inhale,2026-01-18T22:11:14.103298+00:00,2026-01-18T22:11:17.620628+00:00,1768774274.103298,1768774277.620628,3.51733
inhale,2026-01-18T22:11:21.943222+00:00,2026-01-18T22:11:25.418784+00:00,1768774281.943222,1768774285.418784,3.475562
inhale,2026-01-18T22:11:29.622282+00:00,2026-01-18T22:11:33.764755+00:00,1768774289.622282,1768774293.764755,4.142473
inhale,2026-01-18T22:11:37.901576+00:00,2026-01-18T22:11:41.926931+00:00,1768774297.901576,1768774301.926931,4.025355
inhale,2026-01-18T22:11:46.503087+00:00,2026-01-18T22:11:50.783187+00:00,1768774306.503087,1768774310.783187,4.2801
inhale,2026-01-18T22:11:54.645438+00:00,2026-01-18T22:11:58.536584+00:00,1768774314.645438,1768774318.536584,3.891146
inhale,2026-01-18T22:12:03.184162+00:00,2026-01-18T22:12:06.894767+00:00,1768774323.184162,1768774326.894767,3.710605
inhale,2026-01-18T22:12:11.141621+00:00,2026-01-18T22:12:15.386294+00:00,1768774331.141621,1768774335.386294,4.244673
inhale,2026-01-18T22:12:19.760673+00:00,2026-01-18T22:12:24.482020+00:00,1768774339.760673,1768774344.48202,4.721347
